stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,44.06,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,25,0,42,0,1,0,2,1,4,0,0,1,0,0,1,0,11,0,0,10,224,2,0,1,2,0,2,0,33,0,23,25,61,0,0,0,0,0
 24-34,0,0,0.82,8.21,14.78,0,52.53,0,0,0,2.46,0,0,0.82,2.46,0.82,0,0.82,0,0,13.95,0.82,0.82,4.93,206.03,0,0,4.93,0,0,3.28,0,0.82,0,24.63,0.82,31.19,0,0,9.03,0,1.64
 36-46,0,0,0,1.61,0.81,0,31.42,0.81,0,0,0.81,0,0,0,1.61,0.81,0.81,0.81,0,0,10.47,0.81,0.81,5.64,76.54,0,0,0.81,0,0,1.61,0,0,0,8.86,0,10.47,0,0,0.81,0,1.61
 48-58,0,0,0,1.72,1.72,0,14.35,0,0,0,3.44,0,0.57,0,0,0.57,1.15,0,1.72,0,6.89,0,0,1.72,27.54,0,0.57,0.57,0,0,0.57,0,0,0,2.87,0,2.3,0,0,0.57,0,1.72
 60-70,0,0,0,0.98,8.83,0,13.74,4.91,0,0,4.91,1.96,0,0,4.91,0.98,0,0,0.98,0,10.8,0,0,3.93,27.48,0.98,0,3.93,0,0,1.96,0,0,0,3.93,0,4.91,0,0,0.98,0,2.94
 72-82,0,0,0,4.91,32.39,0,31.41,3.93,0,2.94,15.71,0,0,0.98,1.96,0.98,0.98,1.96,0,0,18.65,0,0,3.93,61.84,0,0,10.8,0,0.98,3.93,0,0,0,1.96,0,8.83,0,0,6.87,0,2.94
 84-94,0,0,0,7.43,46.73,0,24.43,6.37,1.06,2.12,15.93,2.12,2.12,0,1.06,3.19,2.12,1.06,2.12,2.12,13.81,1.06,4.25,10.62,48.85,1.06,0,9.56,0,0,22.3,0,0,3.19,11.68,0,7.43,0,0,7.43,0,3.19
 96-106,0,0,0,14.21,46.99,1.09,34.97,10.93,0,2.19,40.44,2.19,0,0,4.37,4.37,0,13.11,1.09,2.19,38.25,1.09,1.09,17.49,73.22,1.09,1.09,18.58,0,0,40.44,0,0,0,13.11,0,9.84,0,0,6.56,1.09,10.93
108-118,0,0,0,40.6,40.6,10.72,50.55,15.32,6.13,1.53,55.15,1.53,0,1.53,9.19,3.06,7.66,7.66,4.6,0.77,91.15,0.77,3.06,23.74,132.51,3.83,4.6,18.38,0,1.53,43.66,0,0,0,26.81,0,6.89,0.77,0,12.26,1.53,12.26
120,0,0,0,48.99,33.32,1.96,72.51,21.56,3.92,3.92,58.79,3.92,0,1.96,7.84,5.88,3.92,5.88,0,0,78.39,0,0,23.52,207.74,5.88,1.96,29.4,0,0,62.71,0,0,0,11.76,0,7.84,0,1.96,15.68,0,5.88
