stage,epidermis,eye,fast_muscle,glial,mesenchyme,mural_cell,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,26,14,0,0
 24-34,0.82,0.82,13.95,0,0,0,6.57,14.78,0,13.95,32.01,0.82,0
 36-46,0,0.81,21.75,0,0,0,4.03,1.61,0,10.47,0,1.61,0
 48-58,0.57,2.3,10.9,0,0.57,0,2.3,4.59,0,4.59,0,0,0.57
 60-70,0,0.98,4.91,0,0,0,0.98,2.94,0,3.93,0,0.98,0
 72-82,0,0.98,2.94,0,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,1.06,2.12,1.06,0,0,1.06,0,0,2.12,0,0,0
 96-106,0,1.09,4.37,0,1.09,0,0,2.19,0,1.09,0,0,0
108-118,0,1.53,6.13,0,0,0.77,0.77,0,0,2.3,0,0,0.77
120,0,0,7.84,0,0,0,1.96,1.96,0,0,0,0,0
