stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,6.57,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,5.16,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,205.14,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0,4.91,0,0,0,0,0.98,0,0,1.96,0.98,0,0
 72-82,0,0.98,11.78,2.94,895.28,0,0,0.98,8.83,0.98,0.98,0,0,0.98,0,0,15.71,0,0,0.98,49.08,0,0,0,0,5.89,2.94,0,8.83,1.96,0.98,1.96
 84-94,0,0,13.81,4.25,989.82,0,2.12,1.06,3.19,0,0,0,0,5.31,0,1.06,13.81,0,1.06,0,19.12,1.06,1.06,0,0,2.12,0,0,5.31,1.06,1.06,0
 96-106,0,0,4.37,6.56,824.01,1.09,0,0,8.74,1.09,0,1.09,1.09,2.19,0,2.19,17.49,0,0,1.09,24.04,0,3.28,1.09,1.09,13.11,0,1.09,3.28,2.19,1.09,0
108-118,0,0,3.83,1.53,595.15,0.77,2.3,1.53,6.13,0.77,0.77,1.53,0,4.6,1.53,0,13.02,0.77,0.77,3.06,48.26,0,0.77,0,0,0.77,0,0,2.3,1.53,0.77,0.77
120,0,0,5.88,1.96,748.64,0,0,0,15.68,0,0,1.96,1.96,3.92,0,1.96,7.84,0,0,1.96,43.12,1.96,1.96,0,0,3.92,0,0,0,1.96,0,0
