stage,blastomeres,eye,fin_mesenchyme,glial,gut,mesenchyme,neural,otic,periderm,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,1.64,0,0,0,0,18.06,1.64,0,1.64,0.82
 36-46,0,0.81,0,0.81,0,0,17.72,0,0,5.64,0
 48-58,0,3.44,0,1.15,0,0.57,18.36,0,0,4.02,0.57
 60-70,0,4.91,0,3.93,0,0,19.63,0,0,2.94,0
 72-82,0,7.85,0,0.98,0,0,17.67,0,0,0.98,0.98
 84-94,0,5.31,1.06,2.12,0,0,3.19,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,6.56,2.19,0,0,0
108-118,0,3.06,0,0.77,0.77,0.77,6.13,0.77,0.77,0,0
120,0,1.96,0,0,1.96,0,15.68,0,0,1.96,1.96
