stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,5,0,0,2,26,2,0,0,0,12,3,11,14,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,4.93,57.46,0,0,0,0,2.46,1.64,2.46,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,5.64,85.4,0,0,0,0,2.42,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0.57,0.57,0,0.57,0.57,2.3,54.51,0,0,0,0,1.15,0,1.15,0,0,0.57,0.57,1.15
 60-70,0,0,0,0,1.96,0,0.98,0.98,0,0.98,0,0,1.96,0,0,2.94,0.98,3.93,0.98,2.94,63.8,0,0.98,0,0,1.96,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0,1.96,4.91,122.71,0,0,0.98,0,1.96,0,0.98,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,2.12,0,2.12,0,2.12,118.95,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,1.09,2.19,0,1.09,1.09,1.09,2.19,0,0,0,7.65,192.34,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,2.3,0,0.77,1.53,0,0,0,0,0.77,1.53,0,0,0.77,4.6,138.64,0,0,0.77,0,3.83,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,1.96,0,0,0,0,86.23,0,0,3.92,0,1.96,0,0,0,1.96,0,0,0
