stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,26.36,1054.23,0,0,0,0,0,0,79.07,0,0,0,0
  5-6,30.65,943.96,0,0,12.26,36.78,6.13,12.26,0,0,0,0,0
  7-9,28.92,34.17,63.09,115.66,31.54,807.01,28.92,417.97,0,2.63,0,0,0
 10-12,0,34.62,62.94,116.44,37.76,830.8,12.59,267.49,0,0,37.76,9.44,3.15
