stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,88.12,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,2,0,0,0,72,0,0,0,3,0,0,47,0,5,10,3,0,0,1,76,1,177,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,70.59,0,0.82,0,2.46,0,0.82,52.53,0.82,21.34,2.46,0,0,0,0,38.58,0,114.1,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,35.45,0,0,0,0,0,0,25.78,0,22.56,1.61,0,0,0,0,19.34,0,87.82,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,2.87,0.57,20.08,0,0.57,0,0.57,0,0.57,14.92,0,9.18,0.57,0,0,0,0,3.44,0,57.38,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,23.56,0,3.93,0,0.98,0.98,0,14.72,0,22.58,2.94,0,0,0,0,5.89,0,29.45,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,2.94,0,25.52,0,3.93,0,0.98,0,0,9.82,0,28.47,7.85,0,0,0,0,1.96,0,16.69,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,0,7.43,0,13.81,0,4.25,0,0,0,0,10.62,0,28.68,11.68,0,0,1.06,0,5.31,0,13.81,0,1.06,0,1.06
 96-106,0,0,3.28,1.09,0,0,1.09,6.56,0,12.02,1.09,6.56,0,2.19,0,0,4.37,0,49.18,10.93,0,0,0,0,3.28,0,13.11,1.09,0,1.09,0
108-118,0,0,0,1.53,0,0,0,1.53,0,11.49,0,6.13,0.77,0.77,0,0,5.36,0.77,33.7,8.43,0,0.77,0,0,2.3,0,13.02,0,0,1.53,0
120,0,0,0,0,0,0,0,0,0,3.92,0,3.92,1.96,1.96,0,0,7.84,0,17.64,3.92,0,0,0,0,3.92,0,7.84,1.96,0,0,0
