stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,163.64,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,24,181,0,40,0,0,0,0,0,6,0,2,0,0,0,3,23,0,0,8,130,16,3,0,0,0,1,1,3,9,1,16,26,0,0,28,0,1
 24-34,0,0,4.1,1.64,4.93,86.19,0,23.8,0,0,0,0,0,4.1,4.93,6.57,0,0,0,11.49,16.42,2.46,0,5.75,101.79,15.6,11.49,6.57,0,0,0.82,0,0,21.34,1.64,11.49,19.7,0,0,119.02,0,10.67
 36-46,0,0,0.81,0,1.61,8.86,0,42.7,0,0,0,2.42,0,3.22,1.61,1.61,0.81,0.81,0,7.25,15.31,0.81,0,3.22,135.35,4.83,12.89,3.22,0,0,0.81,0.81,0,4.83,0,0,37.06,0,0,59.62,0,12.09
 48-58,0,0,0.57,0.57,2.3,10.9,0,195.67,0,0,0.57,10.9,0,2.3,0.57,2.87,1.72,0,0,5.74,23.53,0.57,2.3,2.87,133.12,0.57,8.03,1.72,0,1.15,0.57,0,0,2.87,0,0,21.8,0,0,24.67,0,11.48
 60-70,0,0,1.96,0,5.89,14.72,0,693.94,0.98,1.96,1.96,13.74,1.96,4.91,2.94,3.93,2.94,0,0,0,35.33,0,1.96,2.94,217.9,0,13.74,8.83,0,1.96,0.98,0,0,2.94,0.98,0,21.59,0.98,0,27.48,0,4.91
 72-82,0,0,5.89,0,9.82,36.32,0,689.13,0.98,0,5.89,35.34,3.93,2.94,11.78,7.85,0,0,1.96,2.94,76.57,2.94,3.93,3.93,263.09,0,9.82,11.78,0,0,0.98,0,0,6.87,0.98,0,24.54,3.93,2.94,37.3,1.96,1.96
 84-94,0,0,6.37,0,18.05,35.05,0,613.86,2.12,3.19,2.12,29.74,9.56,1.06,25.49,10.62,5.31,0,1.06,1.06,60.54,1.06,1.06,5.31,177.36,2.12,7.43,5.31,0,0,6.37,0,0,11.68,0,0,10.62,0,2.12,36.11,2.12,5.31
 96-106,0,0,5.46,0,16.39,29.51,0,445.88,2.19,3.28,0,31.69,13.11,4.37,18.58,4.37,3.28,0,1.09,2.19,55.74,2.19,2.19,3.28,171.58,1.09,16.39,7.65,0,3.28,7.65,0,0,8.74,0,0,3.28,1.09,1.09,39.34,7.65,3.28
108-118,0,0,2.3,0,16.85,22.98,2.3,340.09,1.53,1.53,0.77,30.64,6.89,0.77,29.11,7.66,6.13,0.77,3.83,0.77,40.6,2.3,3.06,0.77,169.28,0,6.89,6.89,0,1.53,3.06,0,0,7.66,4.6,0,5.36,1.53,1.53,36.77,6.89,5.36
120,0,0,3.92,0,35.28,27.44,0,252.81,1.96,3.92,0,33.32,21.56,5.88,48.99,13.72,1.96,3.92,7.84,3.92,27.44,0,1.96,1.96,188.14,3.92,7.84,7.84,0,0,13.72,0,0,5.88,1.96,0,11.76,0,1.96,29.4,7.84,1.96
