stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,18.4,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,70.98,2.63,0,0,36.8,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,110.14,9.44,0,0,50.35,0,3.15,0,18.88,0,0,0,0
 14-21,0,0,0,1,6,1,0,1,0,27,0,0,0,0,0,0,4,0,0,1,30,0,2,4,1,0,0,7,36,1,100,0,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,42.68,0,0,0,0,0,0.82,3.28,0,0,0.82,31.19,0,27.09,4.1,0,0,0,0,34.48,0.82,95.22,0,0
 36-46,0,0,0,0,0,0,0,2.42,0.81,11.28,0,0,0,0,0,0,3.22,0,0,0,20.14,0,28.2,1.61,0,0,0,0,15.31,0,28.2,0,0
 48-58,0,0,0,0,0.57,0,0,8.61,0,25.25,0,0,0,0,1.15,0,1.15,0,0,0,18.94,0,17.21,2.87,0,0,0,0,5.16,0,31.56,0,0.57
 60-70,0,0,0,0,0,0,0,4.91,0,28.46,0.98,0,0,0,4.91,0,5.89,0.98,0,0,15.7,0,22.58,5.89,0,0,0,0,2.94,0,23.56,0.98,0
 72-82,0,0,1.96,0,0,0.98,0,7.85,0.98,35.34,0.98,0,0.98,0,6.87,0,3.93,0,0,0.98,19.63,0,31.41,7.85,0,0,0,0,1.96,0,16.69,0,0
 84-94,0,0,2.12,1.06,1.06,2.12,0,12.74,0,24.43,1.06,0,0,0,4.25,0,4.25,0,0,0,13.81,0,41.42,18.05,0,1.06,1.06,0,5.31,0,11.68,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,4.37,0,19.67,5.46,0,0,0,15.3,0,4.37,0,0,0,10.93,0,69.94,19.67,0,1.09,0,0,1.09,0,12.02,0,0
108-118,0,0,0,1.53,0.77,0,0.77,3.83,0,17.62,0,0,0,1.53,9.19,0,0,0,0.77,0,11.49,0,32.17,13.79,0,0,0,0,4.6,0,7.66,0,0.77
120,0,0,0,1.96,0,0,0,3.92,0,5.88,0,0,0,0,9.8,1.96,3.92,0,0,0,9.8,0,37.24,13.72,0,1.96,0,0,3.92,0,3.92,0,0
