stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,8,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,3,79,9,0,1,14,0,8,0,8,0,1,4,35,0,0,1,0,0
 24-34,0,0,1.64,0,1.64,0.82,0,4.1,0,0,0,3.28,0,0,0,0,0,0,0,0,8.21,0,0,1.64,59.92,1.64,2.46,0,0,0,7.39,0,0,0,0,0,30.37,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0.81,0,7.25,0,0,0,4.83,0,0,0,0,0,0,0.81,0,1.61,0,0,1.61,121.66,1.61,2.42,0,0,0,1.61,0,0,0,0,0,36.26,0,0,0.81,0.81,0
 48-58,0,0,1.15,0.57,2.87,0,0,10.9,0,0,1.72,6.31,0,1.15,0,0,0,0,0,0,12.05,0,0.57,1.72,130.83,2.87,1.72,0,0,0.57,0.57,0,0,0.57,0,0,24.1,0,0.57,1.15,0.57,0
 60-70,0,0,0,0.98,12.76,0,0,33.37,0,0,2.94,17.67,0,0,0,0,0,0,0,0,72.63,0,0.98,2.94,255.2,0.98,1.96,0.98,0,0,0,0,0,0,0,0,34.35,0.98,0,1.96,2.94,0
 72-82,0,0,0.98,2.94,36.32,2.94,0,102.09,1.96,0,4.91,79.51,0.98,0,3.93,1.96,0,0,0.98,0,200.26,0,3.93,2.94,394.63,2.94,5.89,4.91,0,1.96,1.96,0,0,0,0,0,34.36,2.94,2.94,1.96,10.8,2.94
 84-94,0,0,2.12,3.19,66.91,2.12,0,63.72,0,0,2.12,59.47,3.19,0,2.12,6.37,2.12,0,0,0,145.5,0,3.19,5.31,212.41,3.19,1.06,9.56,0,2.12,3.19,0,0,0,0,0,18.05,9.56,1.06,3.19,10.62,1.06
 96-106,0,0,0,1.09,106.01,2.19,1.09,95.08,0,1.09,6.56,108.19,3.28,1.09,7.65,4.37,1.09,1.09,0,1.09,265.56,1.09,4.37,5.46,225.13,7.65,9.84,15.3,0,4.37,4.37,0,0,0,0,0,16.39,6.56,7.65,7.65,13.11,1.09
108-118,0,0,1.53,7.66,119.49,0.77,0.77,69.7,0,0,0.77,92.68,6.89,0,12.26,11.49,1.53,0,3.06,0,238.21,0,7.66,5.36,386.05,12.26,6.89,16.09,0,6.13,1.53,0,0,0.77,0,0,11.49,20.68,9.96,7.66,9.96,0.77
120,0,0,1.96,1.96,58.79,1.96,0,45.08,0,0,1.96,48.99,3.92,0,9.8,7.84,0,1.96,0,0,145.02,0,7.84,7.84,309.65,11.76,3.92,9.8,0,9.8,1.96,0,0,0,0,0,9.8,3.92,3.92,7.84,11.76,0
