stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,15,7,0,1,0,0,0,1,1,3,0,0,1,0,0,6,0,3,1,0,2,31,3,0,3,0,6,2,2,0,1,11,0,0,2,0,0
 24-34,0,0,0,0.82,29.55,0,0,5.75,0,1.64,0.82,0,0,0,0,0.82,6.57,0.82,1.64,0.82,0.82,4.93,3.28,0,4.1,41.04,0,1.64,0.82,0,18.06,0,2.46,0,0.82,22.98,0,0,3.28,0,0
 36-46,0,0,0.81,0,13.7,0,0,7.25,0,1.61,0.81,0.81,0,0,0,0,0,0,0.81,0,0.81,5.64,0.81,0,2.42,66.87,1.61,4.83,1.61,0,23.36,0,2.42,0,0,30.62,0,0,2.42,0,1.61
 48-58,0,0,0,0,8.61,0,0,9.75,0,1.15,0,4.02,0,0,0,0,1.72,0,0.57,2.87,1.72,8.61,1.72,0,1.15,81.48,1.72,1.15,0,0,11.48,0,0,0,0,24.1,0,0,1.72,0,0
 60-70,0,0,0,0,8.83,0,0,41.22,0,1.96,0,5.89,0,0,0,0.98,0.98,0.98,0,1.96,0.98,13.74,1.96,0,0.98,113.86,1.96,2.94,0.98,0,4.91,0,1.96,0,0,17.67,0,0.98,6.87,0,0
 72-82,0,0,0,0,4.91,3.93,0,99.15,0.98,2.94,0,8.83,1.96,0,0,0,3.93,0.98,3.93,2.94,0.98,33.38,0.98,0,0.98,157.07,0,0.98,0.98,0,1.96,0,0.98,0.98,0,22.58,1.96,0,6.87,0,0.98
 84-94,0,0,1.06,4.25,23.36,0,0,91.34,0,4.25,1.06,2.12,10.62,0,0,4.25,6.37,1.06,0,8.5,0,18.05,3.19,0,1.06,99.83,0,2.12,3.19,0,12.74,0,4.25,0,0,5.31,1.06,0,4.25,1.06,1.06
 96-106,0,0,2.19,3.28,10.93,1.09,0,89.61,0,2.19,0,8.74,13.11,0,1.09,3.28,3.28,6.56,1.09,8.74,0,18.58,0,1.09,1.09,109.28,0,3.28,5.46,0,5.46,0,2.19,0,0,6.56,3.28,1.09,6.56,0,1.09
108-118,0,0,0.77,6.89,35.23,1.53,1.53,88.85,0,6.89,0,10.72,7.66,0,0,4.6,5.36,6.89,2.3,18.38,0,16.85,2.3,1.53,0,109.53,0,0,3.06,0,5.36,0,4.6,0,0,3.83,5.36,0.77,3.83,0.77,0
120,0,0,1.96,1.96,54.87,0,0,78.39,0,0,1.96,17.64,11.76,0,0,11.76,5.88,1.96,3.92,15.68,0,21.56,1.96,0,0,139.14,0,3.92,0,0,5.88,0,9.8,0,0,3.92,1.96,1.96,9.8,0,0
