stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,303.09,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,649.74,1986,0,36.78,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,643.61,0,0,0,128.72,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,52.57,0,993.65,0,7.89,0,2.63,0,0,0,0,236.58,0,0,0,0,0,0,0,0,481.05,13.14,0,0,389.05,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,525.54,0,119.58,0,9.44,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,330.43,6.29,0,0,84.97,0,3.15,3.15,0,125.88,0,0,0,0,0,0,0
 14-21,1,0,0,33,34,50,0,1,0,0,0,28,1,20,0,1,0,13,306,0,109,92,1,0,1,0,0,0,0,3,1,0,1,2,0,0,0,0
 24-34,0.82,0,0.82,9.85,13.13,2.46,0,2.46,0,0,1.64,7.39,0,52.53,0,0,0,16.42,171.56,1.64,44.33,36.94,0,0,0,0,3.28,0,0,0.82,0.82,0.82,0,5.75,0,4.1,0,0
 36-46,0,0,0,1.61,4.03,0.81,0,0.81,0,0,0,4.83,0,49.15,0,0,0,3.22,106.35,8.06,12.89,17.72,0,0,0,0,2.42,0.81,0,0,0,0,0,2.42,0.81,2.42,0,0
 48-58,0,0,0,0.57,2.3,0,0,4.02,0,1.15,1.15,6.89,0,55.09,0,0,0,1.15,94.68,8.61,9.18,14.35,0,0.57,0,0,8.03,0.57,0,0,0,0.57,0,3.44,1.72,3.44,0,0.57
 60-70,0,0,1.96,0,3.93,0.98,0,4.91,0,0,1.96,29.45,0,44.17,0.98,0,0,2.94,66.74,7.85,0.98,8.83,0,0,0,0,9.82,0.98,0,0,0,0,0,0,11.78,0,0.98,0
 72-82,0,0,22.58,0.98,1.96,0,0,7.85,0,1.96,2.94,83.44,0,65.77,0,0,0,0,85.4,20.61,4.91,24.54,0,0,0,0,8.83,0,0,0,0,0,0,1.96,17.67,6.87,2.94,0.98
 84-94,0,0,6.37,0,1.06,0,5.31,8.5,0,2.12,1.06,129.57,0,56.29,0,0,0,2.12,61.6,13.81,5.31,10.62,0,0,2.12,0,8.5,1.06,0,0,0,0,0,0,15.93,4.25,3.19,0
 96-106,0,0,10.93,1.09,1.09,1.09,2.19,9.84,0,4.37,1.09,149.72,0,84.15,1.09,0,0,2.19,52.46,17.49,5.46,50.27,0,0,0,0,7.65,4.37,0,0,0,0,0,0,20.76,3.28,8.74,0
108-118,0,0,3.83,4.6,2.3,0,16.85,2.3,1.53,2.3,0.77,147.06,0,37.53,0.77,0,0.77,3.06,45.96,13.79,1.53,22.21,0,0,0,0,9.19,0,0,0,0,0,0,0,16.85,5.36,4.6,0
120,0,0,3.92,1.96,5.88,0,7.84,1.96,1.96,1.96,1.96,123.47,0,52.91,0,0,0,0,50.95,5.88,0,29.4,0,1.96,0,0,13.72,0,0,0,0,0,0,0,23.52,5.88,1.96,0
