stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,1475.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,128.72,2549.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,12.26,0,0,42.91,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,36.8,92,165.61,0,2.63,289.16,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,2762.78,31.54,0,0,988.4,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,75.53,0,12.59,182.52,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,1721.39,15.73,0,0,632.54,0,9.44,6.29,0,78.67,0,0,0,0,0,0
 14-21,0,0,2,19,2,18,0,0,7,1,0,0,0,0,0,0,0,11,0,0,10,250,6,1,1,6,0,3,0,14,2,7,58,0,0,1,0
 24-34,0,0,1.64,13.13,0.82,64.85,0,0,4.1,0,0,0.82,0.82,0,0,0,1.64,40.22,0,0,9.85,326.7,1.64,1.64,1.64,0,0,9.85,0,0,0,0.82,60.74,0,0,1.64,0
 36-46,0,0,0,13.7,1.61,87.01,0,0,7.25,2.42,0,0,0,0,0.81,0,0,28.2,0,1.61,12.89,202.22,0.81,1.61,0,0,0,8.06,0,0,0.81,0,46.73,0,0,0.81,0
 48-58,0,0,0,4.02,0,61.97,1.72,1.15,4.59,0,0,1.15,0,0,0,0,0.57,30.41,0,0,8.03,52.22,0,0,0,0,0,1.72,0,0,0,0,9.18,0,0,1.15,0.57
 60-70,0,0,0,12.76,0,58.89,1.96,0,12.76,0.98,0,0,0,0,0.98,0,0,29.45,0,0.98,4.91,41.22,2.94,0,2.94,0,0,1.96,0,0,0,0,4.91,0,0,1.96,1.96
 72-82,0,0,0,6.87,4.91,13.74,0.98,0.98,16.69,1.96,0.98,0,1.96,0,0,0,0,22.58,0,0,1.96,27.49,0,0.98,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0.98
 84-94,0,0,0,10.62,3.19,21.24,2.12,0,10.62,0,0,1.06,0,0,0,0,0,24.43,0,2.12,4.25,28.68,1.06,1.06,0,0,1.06,4.25,0,0,0,0,0,1.06,0,3.19,0
 96-106,0,0,0,12.02,4.37,19.67,2.19,2.19,14.21,1.09,0,0,4.37,2.19,0,1.09,0,24.04,0,1.09,3.28,19.67,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,13.79,5.36,13.02,1.53,0.77,12.26,0,0,0,2.3,0,0.77,0,1.53,10.72,0.77,1.53,2.3,29.87,1.53,2.3,1.53,0,0.77,3.83,0,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,17.64,3.92,13.72,1.96,0,17.64,0,0,0,1.96,1.96,0,0,0,15.68,0,0,5.88,21.56,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0
