stage,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,292.67,0,0,18.88,3.15,0,0,0,0,3.15,0
 14-21,1,1,0,158,0,0,3,0,0,0,0,1,0,1
 24-34,0,0,0.82,54.18,3.28,0.82,7.39,0,0.82,0,0.82,0,0,2.46
 36-46,0,0.81,0,19.34,0,0,1.61,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,27.54,0.57,0.57,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
