stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,4,0,1,22,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,1.64,15.6,4.1,0.82,0,1.64,0,0,0,0,1.64,1.64,0,1.64,0,0
 36-46,0,0,1.61,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,27.39,0.81,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0.57,0,3.44,0.57,0,1.15,0,0,0,0,0,0,0,0,1.15,2.3,0,0,0,9.75,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,9.82,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,1.96,0,3.93,0,0,0,14.72,0,0,0,0,0,3.93,1.96,0,4.91,0,0.98,0,5.89,2.94,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,2.12,0,0,0,22.3,0,0,0,0,0,1.06,0,0,3.19,1.06,0,1.06,10.62,2.12,0,0,3.19,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,2.19,0,3.28,0,0,1.09,76.5,0,0,1.09,0,0,16.39,2.19,0,6.56,1.09,1.09,0,9.84,9.84,1.09,0,9.84,0,0,0,0,0,1.09,2.19,1.09,0,0
108-118,0,0,6.89,0,3.06,2.3,0,0,229.02,0,0,0.77,3.06,0,32.94,0.77,0,3.83,2.3,0,3.83,12.26,15.32,0.77,0,85.02,0,0,0.77,0,0,0,9.96,0,0,0
120,0,0,1.96,1.96,1.96,1.96,1.96,0,123.47,0,0,0,0,1.96,11.76,0,0,3.92,3.92,0,1.96,1.96,9.8,0,0,31.36,0,0,0,0,0,0,5.88,0,1.96,0
