stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,14,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,74.7,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,2.42,0,0,0,0,0,0.81,0,36.26,0.81,1.61
 48-58,0,0,0,0,2.3,0,0,1.15,0,0,9.18,0,0,0,0,2.87,0,0,0,0,0,0,0,32.71,0,16.07
 60-70,0,0,0,0,0,0,1.96,1.96,0,0,7.85,1.96,0,0.98,0,1.96,0,0,2.94,0,0,0.98,0,44.17,1.96,12.76
 72-82,0,0,0,0,2.94,0.98,23.56,5.89,0,0.98,22.58,7.85,0,0.98,1.96,3.93,0.98,0,8.83,0,0,0.98,3.93,102.09,5.89,11.78
 84-94,0,0,0,0,3.19,0,15.93,2.12,1.06,1.06,29.74,5.31,0,3.19,1.06,7.43,0,0,6.37,0,0,0,1.06,100.89,5.31,27.61
 96-106,0,0,1.09,1.09,6.56,0,21.86,4.37,0,1.09,25.14,10.93,1.09,2.19,4.37,10.93,0,0,20.76,1.09,2.19,0,2.19,118.03,5.46,28.41
108-118,0,0,0,0,2.3,0.77,16.09,2.3,0.77,3.83,36,3.06,0,1.53,1.53,3.06,0,0,19.15,0.77,2.3,0,2.3,94.21,3.06,37.53
120,0,0,3.92,0,3.92,0,15.68,5.88,0,5.88,5.88,11.76,0,0,1.96,1.96,0,0,7.84,0,0,0,0,62.71,0,9.8
