stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,somites,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,4.83,0,0,0
 48-58,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0,2.3,0,4.02,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,0.98,0,1.96,0,0,2.94,0,3.93,0,0,0
 72-82,0,0,19.63,0,0.98,0,0,0,1.96,0.98,0,0,0,5.89,0,9.82,0,0,0
 84-94,0,0,37.17,0,0,1.06,0,1.06,0,1.06,1.06,0,0,2.12,2.12,19.12,0,0,0
 96-106,0,0,169.39,1.09,0,3.28,6.56,0,0,2.19,0,0,0,1.09,0,24.04,0,5.46,1.09
108-118,0,0,142.47,0.77,0.77,5.36,7.66,0,3.83,9.19,0.77,0.77,0,3.06,3.06,18.38,0,17.62,0
120,0,0,129.35,0,0,5.88,1.96,0,0,1.96,0,1.96,0,1.96,0,23.52,0,3.92,0
