stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0.82,4.1,0,0.82,0,0,0.82,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,8.86,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0.57,7.46,0,0,0,0,0,3.44,0,0
 60-70,0,0.98,0,3.93,0,1.96,0,0,1.96,0,12.76,0.98,0,0,0.98,0,3.93,0,0
 72-82,0,0.98,0,10.8,0,3.93,0,0,1.96,0.98,15.71,0,0,0,0,0,0,0,0
 84-94,0,0,0,7.43,0,3.19,1.06,0,1.06,0,8.5,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,1.09,2.19,1.09,3.28,0,2.19,0,0,0,0,0,0,0,0
108-118,0,2.3,0,2.3,0,0,0,0.77,0.77,0,4.6,0,0,0,0,0,0,0.77,0
120,0,5.88,0,1.96,1.96,1.96,0,3.92,1.96,1.96,5.88,0,0,0,0,0,0,0,1.96
