stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0,1.96,0,13.74,0,0.98,0,0,0,0.98,0,0,0.98,0,15.7,4.91,22.58
 72-82,0.98,0,0,12.76,0,1.96,0,21.6,0,0,0.98,0,0,0,0.98,0,14.72,0,22.58,0.98,14.72,0,0.98,0,0,1.96,0,1.96,0.98,36.32,9.82,71.66
 84-94,5.31,1.06,0,13.81,1.06,0,0,15.93,0,1.06,0,0,0,0,0,0,11.68,1.06,23.36,2.12,12.74,0,0,1.06,0,3.19,0,0,0,54.16,6.37,92.4
 96-106,2.19,3.28,2.19,27.32,0,1.09,2.19,31.69,0,0,2.19,3.28,1.09,0,0,0,19.67,0,15.3,3.28,15.3,0,1.09,2.19,2.19,7.65,0,2.19,0,53.55,15.3,126.77
108-118,2.3,2.3,0,18.38,0,1.53,0.77,49.02,0.77,0,0,0,0.77,0.77,2.3,0,26.81,0.77,14.55,3.06,22.98,1.53,0.77,0,3.83,3.06,0,3.06,0,46.72,8.43,76.6
120,0,3.92,0,13.72,0,0,0,54.87,1.96,0,0,0,0,0,0,0,9.8,0,9.8,0,23.52,0,0,0,1.96,1.96,0,0,0,39.2,7.84,121.51
