stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,6,3,0,4,0,0,0,4,0,0,0,0,0,1,0,0,16,0,0,15,122,2,0,0,0,1,0,2,0,27,53,0,0,0,0,0
 24-34,0,0.82,13.13,0,0,3.28,0.82,0,0,5.75,0,0,0,0,0,1.64,0,0,31.19,0,0,36.94,528.63,3.28,0,0.82,0,1.64,0,0,0,1.64,162.53,0,0,2.46,0,0
 36-46,0,0,4.03,1.61,0,6.45,0.81,0,0.81,8.06,0,0.81,0,0,0,0,0,0,43.51,0,0.81,19.34,588.14,6.45,0.81,0,0,0,0,0,0,0,172.41,0,0.81,4.03,0,0.81
 48-58,0,0,5.74,0,0,19.51,0,0,1.15,22.38,0,1.15,0,0,0,0.57,0,0,74.59,0.57,1.15,7.46,410.84,2.87,0,0,0.57,1.15,0,0,0.57,0,128.53,0,0.57,1.15,0,0
 60-70,0,0,7.85,0,0,25.52,0,0,0.98,31.41,0,0,0,0,0,0.98,0.98,0,67.73,0,1.96,0.98,306.23,0,0,0,0,2.94,0,0,0,0,66.74,0.98,0.98,3.93,0,0
 72-82,0.98,0,9.82,0.98,0,47.12,0,0,0,32.39,1.96,0.98,0,0,0,1.96,0,0,91.29,0,3.93,7.85,269.96,0.98,0,1.96,0,0.98,0,0,0,0,42.21,0,1.96,12.76,4.91,0
 84-94,1.06,0,8.5,0,0,36.11,1.06,2.12,0,21.24,2.12,0,1.06,1.06,0,1.06,0,0,54.16,0,3.19,5.31,130.63,2.12,0,0,0,0,0,0,0,0,19.12,0,4.25,10.62,2.12,0
 96-106,0,0,19.67,1.09,0,26.23,1.09,1.09,0,29.51,1.09,1.09,0,0,0,1.09,0,1.09,63.39,0,7.65,8.74,126.77,2.19,0,1.09,0,1.09,1.09,0,0,0,18.58,0,1.09,9.84,3.28,0
108-118,0,0,22.21,0,0.77,23.74,1.53,1.53,1.53,24.51,1.53,0,0,0,0,0.77,0,0,39.06,0.77,5.36,4.6,157.02,1.53,0,0,1.53,0,0,0,0,0,6.89,0,1.53,5.36,2.3,0
120,0,0,31.36,0,0,35.28,1.96,1.96,0,21.56,0,0,0,1.96,1.96,1.96,1.96,0,43.12,3.92,7.84,7.84,184.22,0,0,0,1.96,0,0,0,0,0,9.8,0,0,5.88,1.96,0
