stage,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0.81,0,1.61,0
 48-58,0,0,0,0,0,0.57,1.72,0.57,0,2.3,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98,1.96,0
 72-82,0,0.98,0,0,0,0,3.93,0.98,0.98,1.96,0.98,0,0,0,4.91,0
 84-94,0,1.06,0,0,0,0,3.19,2.12,0,2.12,3.19,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,4.37,0,0,1.09,0,0,0,0,4.37,2.19
108-118,0,0,0.77,0,0,0,2.3,0.77,0,0.77,3.06,0.77,0,0,1.53,2.3
120,0,0,0,0,1.96,0,0,0,0,3.92,1.96,0,0,0,1.96,0
