stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,70,2,0,0,0,7,0,4,11,0,0,16,0,0,0,3,2,0,0,13,0,2,15,2,76,3,7,1,1,0,0,1,0
 24-34,0,0,4.1,2.46,32.01,0.82,0,0,0,1.64,0,3.28,0.82,0,2.46,24.63,2.46,0,0.82,0.82,7.39,0,0.82,28.73,0,17.24,13.13,0,114.1,0,4.93,0,0.82,0,0,1.64,0
 36-46,0,0,0,0,8.86,0,0,0,0,4.03,0,3.22,2.42,0,3.22,4.03,6.45,0.81,1.61,1.61,3.22,0,0,33.03,0,11.28,11.28,0,88.62,0,2.42,0,1.61,0,0,0.81,0
 48-58,0,0,0.57,0,8.03,0,0,3.44,0,0.57,0.57,1.15,12.62,0,2.3,5.16,1.15,2.3,0,1.15,4.59,0,0,12.62,0,2.87,6.31,0,69.43,0,1.15,0,1.72,0,0,1.72,0
 60-70,0,0,0.98,0,8.83,0,0,10.8,0.98,6.87,0,5.89,1.96,0,6.87,5.89,3.93,0,0,0.98,5.89,0,0,10.8,0,8.83,8.83,0,73.61,0,1.96,0,0,1.96,0,3.93,0
 72-82,0,0,2.94,0,20.61,0.98,0,26.5,0.98,2.94,4.91,8.83,4.91,0,14.72,14.72,6.87,0,0,5.89,2.94,0,0.98,16.69,0.98,12.76,13.74,0,83.44,0,0.98,0,0.98,5.89,0.98,5.89,0.98
 84-94,0,0,2.12,0,31.86,0,0,12.74,0,9.56,3.19,18.05,3.19,0,10.62,16.99,4.25,2.12,0,2.12,8.5,0,1.06,8.5,0,8.5,15.93,0,251.7,0,2.12,0,1.06,11.68,1.06,5.31,1.06
 96-106,0,0,4.37,0,42.62,4.37,0,14.21,0,13.11,7.65,22.95,2.19,1.09,13.11,26.23,15.3,3.28,0,3.28,8.74,2.19,1.09,26.23,0,3.28,22.95,0,197.81,1.09,3.28,1.09,0,10.93,0,9.84,5.46
108-118,0,0,0.77,0,29.87,0.77,0.77,7.66,0,14.55,7.66,26.81,0,0,13.02,17.62,9.19,1.53,1.53,0.77,6.13,0,0,10.72,0,9.96,12.26,0,144.77,0,4.6,0,0,11.49,0,5.36,4.6
120,0,0,0,0,39.2,0,0,9.8,1.96,17.64,3.92,33.32,0,0,13.72,11.76,11.76,1.96,0,0,9.8,0,1.96,7.84,0,5.88,11.76,0,145.02,0,0,0,0,5.88,0,5.88,9.8
