stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,123.95,0,1.64,0,0,0,0,0,34.48,0,0,0.82,0
 36-46,0,0,0,0,0,6.45,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,401.22,0,6.45,0,0,1.61,0,0,85.4,0,0,0,0
 48-58,0,0,0,2.3,0.57,32.13,0,0.57,4.59,0,0,0.57,0,0,0,0,0,0.57,2.87,0,0.57,1.15,617.99,0,1.15,1.15,0,0.57,0,0,115.33,0,0,0,1.15
 60-70,0,0,0,0.98,0,130.54,0,0,9.82,0,0,0,0,0,0,0,0,0,6.87,0.98,0.98,2.94,1231.81,0,2.94,0,0,1.96,0,0,156.06,0,0.98,0,0
 72-82,0,0,0,4.91,1.96,113.87,0,0.98,17.67,0.98,0,0,0.98,0,0,1.96,0.98,0,8.83,0,0,1.96,842.27,0,0,0.98,0,1.96,0,0,101.11,0.98,0,0,1.96
 84-94,0,0,0,7.43,0,81.78,0,0,8.5,0,0,0,2.12,1.06,0,0,1.06,0,7.43,0,1.06,1.06,515.09,0,1.06,1.06,0,1.06,0,0,47.79,0,0,1.06,0
 96-106,0,0,0,3.28,4.37,65.57,1.09,1.09,15.3,1.09,0,0,1.09,0,1.09,0,0,0,6.56,0,0,1.09,366.1,0,0,0,0,1.09,0,0,26.23,0,0,1.09,0
108-118,0,0.77,0,5.36,0.77,47.49,0,0,4.6,0.77,0,0,0.77,0,1.53,0,0.77,0,3.83,0,0,1.53,353.87,0.77,0.77,0,0,0,0,0.77,19.92,0,0,0,0
120,0,0,0,3.92,0,47.03,0,0,11.76,1.96,0,1.96,0,0,0,0,0,0,11.76,0,0,0,435.07,0,0,1.96,0,0,0,0,15.68,0,0,0,0
