stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
 24-34,0,2.46,0,0,0,0,0.82,0,1.64,0,1.64,1.64,4.93,0,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0.81,0.81,0,0.81,0,0,0,20.95,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,1.15,0,0,0,0.57,0,0,0.57,0,0.57,0,20.66,0,0,0,0,0,0,0,0,0,0
 60-70,0,3.93,0,0,0,0,0,0,0,0.98,0.98,0,9.82,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,1.96,4.91,0,0.98,0,0,0.98,0.98,0,0.98,0.98,12.76,0,0,0,1.96,0,0,0,1.96,1.96,1.96
 84-94,0,6.37,3.19,0,1.06,0,5.31,1.06,0,1.06,1.06,0,10.62,0,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,5.46,3.28,1.09,1.09,0,3.28,3.28,0,0,1.09,0,2.19,0,0,0,3.28,0,0,0,0,5.46,2.19
108-118,0,6.89,3.06,0,1.53,0,3.83,2.3,1.53,0,0.77,0,3.06,0.77,0,0,1.53,0,0,0,0,7.66,0.77
120,0,7.84,0,0,1.96,0,1.96,1.96,0,0,1.96,0,3.92,0,3.92,0,3.92,0,0,0,0,5.88,0
