stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0,0,0,18.88,0,0,0,0,4.93,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.12,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0.57,0,0,11.48,0,0,0,1.15,0,0,0,0,0,0.57,0,0,0.57,76.32,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0.98,0,0,32.39,0,0,0,0,0,0,0.98,0,0,1.96,0,0.98,0,145.27,0,0,0,0.98,6.87,0,0,0
 72-82,0,0,0,0,0,0,47.12,0,0,0,1.96,0.98,0,0,0,0,6.87,0,0,0,245.42,0,0,0,1.96,8.83,0.98,0,0.98
 84-94,0,0,0,1.06,0,1.06,25.49,1.06,0,1.06,4.25,0,0,0,1.06,1.06,1.06,1.06,1.06,2.12,129.57,0,1.06,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,0,36.06,0,0,0,2.19,0,0,0,0,0,4.37,0,0,1.09,137.7,0,0,0,4.37,1.09,0,0,0
108-118,0,0,0,1.53,0.77,0.77,16.85,0,0,0,1.53,0.77,0,0,0,0,0.77,0,0,0.77,142.47,0,0,0,0.77,0.77,0,0,0
120,0,0,0,5.88,0,0,31.36,0,3.92,0,3.92,1.96,1.96,0,0,0,3.92,0,0,1.96,168.54,0,0,0,1.96,0,1.96,0,0
