stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,47.2,3.15,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,6,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,81,2,0,0,5,0,1,0,4,0,0,2,39,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,4.93,0,0.82,0,6.57,0,0,0,0,0,0,0,0,0,0,0,151.04,0,0,0,0,0,0,0,0,0,0.82,2.46,36.94,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0.81,0,2.42,0,1.61,0,0,0,0,0,0,0,0,0,203.03,0,0.81,0.81,0,0,0,0,0,0,0,0,12.89,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,22.95,0.57,0,1.72,3.44,0,0.57,0,0,0,0,0,0.57,5.74,0,0.57,263.38,0,0,2.87,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,120.73,0,0,0.98,7.85,0,0,0,0,0,0,0,0,11.78,1.96,0,478.98,0.98,0,4.91,0,0,0,0,0,0,0,0,14.72,0,0,1.96,0,1.96
 72-82,0,0,0.98,0,2.94,2.94,234.62,0,0,2.94,25.52,0.98,0,0,0,0,0,0,0,23.56,0.98,0.98,702.87,0,0.98,5.89,0,0,2.94,0.98,0,0,0,0,10.8,0.98,1.96,1.96,0.98,0.98
 84-94,0,0,1.06,0,9.56,4.25,133.82,0,1.06,2.12,9.56,1.06,0,0,0,0,0,0,0,19.12,0,0,380.21,1.06,1.06,5.31,0,0,1.06,0,0,0,0,0,12.74,0,1.06,2.12,0,2.12
 96-106,0,0,0,0,7.65,2.19,123.49,0,1.09,2.19,15.3,0,0,1.09,1.09,2.19,1.09,0,0,16.39,0,1.09,356.27,1.09,1.09,13.11,0,0,0,0,0,0,0,0,8.74,0,1.09,2.19,1.09,0
108-118,0,0,0,0,7.66,0,93.45,0,0,0,6.89,1.53,0,0,0,1.53,0,0,0,9.19,0,1.53,417.45,2.3,0.77,2.3,0,0,1.53,0,0,0.77,0,0,3.83,0,0,3.06,0.77,0
120,0,0,0,0,11.76,0,66.63,1.96,0,0,15.68,0,0,0,0,0,0,0,0,5.88,0,1.96,395.88,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,7.84,0,0,0,0,0
