stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,1,7,0,0,0,2,2,1,1,0,0,0,0,0,0,10,0,0,8,160,6,0,0,5,0,0,18,2,0,18,53,0,0,0,0,0
 24-34,0,0,1.64,2.46,0.82,22.98,0,1.64,0.82,2.46,0,0,0.82,0,1.64,0,0,0,0,17.24,0,0,9.85,213.42,0,0,1.64,0,0,4.93,0,2.46,0.82,0.82,54.18,0,0,1.64,0,0.82
 36-46,0,0,0,2.42,0,28.2,0,0.81,1.61,7.25,0,0,0,0.81,0,0.81,1.61,0,0,20.14,0,1.61,3.22,219.14,0,2.42,0.81,0,0.81,7.25,0,0,0,0,38.67,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,49.35,0,0.57,1.15,21.23,0.57,0,1.15,0,0.57,0.57,0.57,0,0,28.69,0,0.57,3.44,149.76,0.57,0,0.57,0,0,2.87,0,0,0,0,30.99,0,0,0.57,0,0.57
 60-70,0,0,0,4.91,0,55.95,0.98,0.98,0.98,30.43,2.94,0,0,0,0,0,0,0,0,34.35,0,2.94,6.87,167.84,0,0,0,0,0,2.94,0,0,0,0,24.54,0,0.98,0.98,0,0
 72-82,0,0.98,0,13.74,0.98,53.99,0,0,0.98,47.12,0.98,0,0,2.94,0,2.94,0.98,0.98,0.98,87.37,0.98,1.96,8.83,136.45,0,0.98,5.89,0,0.98,4.91,0,0,0,0,11.78,0,0.98,4.91,1.96,0.98
 84-94,0,0,0,13.81,0,22.3,0,0,2.12,26.55,1.06,0,2.12,2.12,1.06,1.06,1.06,0,0,28.68,0,0,2.12,58.41,0,2.12,0,0,0,3.19,0,1.06,0,0,4.25,3.19,1.06,4.25,0,1.06
 96-106,0,0,0,2.19,0,24.04,0,2.19,0,16.39,1.09,0,1.09,1.09,1.09,1.09,2.19,0,0,21.86,0,1.09,4.37,49.18,0,0,0,0,1.09,5.46,0,0,0,0,4.37,1.09,1.09,4.37,0,0
108-118,0,0,0,5.36,0,24.51,0,0,0,14.55,1.53,0,0,1.53,0.77,3.83,0,0.77,0.77,28.34,0,0.77,5.36,45.19,0,0.77,6.89,0,0.77,6.13,0,1.53,0,0,5.36,0,0,1.53,2.3,0.77
120,0,3.92,0,3.92,1.96,9.8,0,5.88,0,19.6,0,0,0,0,0,1.96,0,0,0,19.6,1.96,1.96,13.72,66.63,3.92,5.88,3.92,0,0,7.84,0,0,0,0,5.88,0,0,0,1.96,0
