stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,15.31,0.81,1.61,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,10.33,1.15,6.89,0,0,0.57,0,3.44,0,0.57,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,16.69,0,9.82,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,11.78,3.93,4.91,0,0,0,0,6.87,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0
 84-94,38.23,1.06,10.62,0,0,0,0,3.19,0,1.06,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,33.88,0,10.93,2.19,0,0,2.19,1.09,0,0,2.19,0,0,0,0,0,0,1.09,0,0,0
108-118,26.81,0.77,13.02,3.06,0,0,0.77,3.83,0.77,0.77,1.53,0.77,0,0,0,0,0,0,0.77,0,0.77
120,27.44,0,3.92,0,1.96,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
