stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,12,0,3,50,6,3,0,0,0,0,0,2,0,1,1,37,0,0,0,0
 24-34,0,0,0,0,9.85,0,0,10.67,1.64,0,0,6.57,0,0,0,0,0,0,0,19.7,0,4.1,69.77,4.93,13.95,0,0,0,0,0,0,0,9.85,0.82,118.2,0,1.64,0,0
 36-46,0,0,0,0,4.03,0,0,11.28,7.25,1.61,0,21.75,0,0.81,0,0,0.81,0,0,13.7,1.61,4.03,93.46,5.64,5.64,0,0,0,1.61,0.81,0,0.81,16.92,0,120.04,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,19.51,5.16,0,0,18.94,0,0.57,0,0,0,0,0,9.75,0.57,2.3,93.53,1.15,8.61,0,0.57,0,1.15,0,0,0,10.9,0,85.5,0,0.57,0,1.72
 60-70,0,0,0,0,8.83,0,0,61.84,4.91,0,0,20.61,0,0,0,0,0.98,0,0,20.61,1.96,3.93,171.77,0.98,5.89,0.98,0,0,0.98,0,0,0,2.94,0,77.54,0.98,0,0.98,0
 72-82,0,0,0,0,11.78,0,0,157.07,1.96,0.98,0,26.5,3.93,0,0,2.94,0.98,1.96,0,31.41,3.93,2.94,246.4,0.98,15.71,1.96,0,0,0,0,0,0,1.96,0,76.57,0.98,0.98,1.96,0
 84-94,0,0,0,0,15.93,0,0,100.89,3.19,1.06,0,18.05,3.19,0,0,1.06,0,0,0,14.87,0,4.25,109.39,8.5,3.19,2.12,0,0,0,0,0,0,5.31,0,27.61,1.06,1.06,2.12,0
 96-106,1.09,0,0,0,21.86,2.19,0,96.17,1.09,0,1.09,22.95,5.46,0,0,3.28,0,2.19,1.09,19.67,2.19,4.37,139.88,3.28,9.84,2.19,0,1.09,1.09,0,0,0,1.09,0,20.76,1.09,0,2.19,1.09
108-118,0,0,0,0,14.55,0.77,0.77,75.83,0.77,1.53,0,16.09,0.77,0,0.77,5.36,0.77,0,0,13.02,0.77,3.83,122.55,2.3,6.89,2.3,0,0,0,0,0,0,2.3,0,24.51,0,0,1.53,0
120,0,0,0,0,23.52,0,0,70.55,1.96,3.92,0,17.64,0,0,0,7.84,0,1.96,0,9.8,1.96,0,168.54,5.88,3.92,0,0,0,0,0,0,0,1.96,0,35.28,0,0,1.96,0
