stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,heart,immune,iridophores,lateral_line,mesenchyme,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,47.61,0,0,0.82,9.85,0,0
 36-46,0,1.61,4.03,0,1.61,0,2.42,0,0,0,23.36,0,0,0,6.45,0,0
 48-58,0,1.15,11.48,0,1.15,0.57,1.72,0,0,1.15,51.07,0,0,0,11.48,0,0.57
 60-70,0,0,9.82,0,1.96,0,5.89,0,0,1.96,38.28,0,0,0,9.82,0.98,0
 72-82,0,0.98,12.76,0,2.94,0,25.52,0,0,5.89,40.25,0,0.98,0,3.93,0.98,0
 84-94,1.06,1.06,6.37,1.06,2.12,0,18.05,0,0,3.19,15.93,0,0,0,4.25,0,0
 96-106,0,1.09,7.65,0,1.09,0,44.81,0,1.09,4.37,14.21,0,1.09,0,0,1.09,0
108-118,0,3.06,8.43,1.53,0.77,0,31.4,0.77,0,1.53,16.09,0,0.77,0.77,0.77,0.77,0
120,0,3.92,5.88,0,3.92,0,17.64,0,0,0,29.4,1.96,0,0,0,0,0
