stage,axial,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,neural,olfactory,spinal_cord,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,18.88,0,0,0
 14-21,0,0,0,0,0,0,0,0,23,0,3,0
 24-34,0,0,0,2.46,0,0,0.82,0,70.59,0,10.67,0
 36-46,0,0,0,0.81,0,0.81,0,0,62.04,0,4.03,0.81
 48-58,0,0,0,0.57,1.15,0.57,0,0,47.05,0,4.02,0
 60-70,0,0,0,0,0.98,2.94,0,0,21.59,0.98,0,0
 72-82,0,0,0,0.98,2.94,9.82,0,0,32.39,0,0,0
 84-94,0,0,0,0,5.31,7.43,0,0,15.93,0,0,0
 96-106,0,0,1.09,0,3.28,4.37,1.09,2.19,10.93,0,0,0
108-118,0,0,2.3,0,1.53,3.06,0,0,18.38,0,0,0
120,0,0,0,3.92,1.96,11.76,0,0,23.52,0,1.96,0
