stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,1.64,1.64,0.82,0,0.82,0,1.64,0,0,1.64,28.73,0,0.82,0,0,0.82,0.82,0.82,8.21,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,1.61,0.81,0,0,55.59,0.81,0,0,0,0.81,1.61,0.81,4.83,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,7.46,0,0,0,1.72,0,0,0,1.72,0,0.57,0,0,0.57,1.15,0,0,0.57,59.1,0,0,0.57,0,1.72,1.15,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,3.93,0,0,0,1.96,4.91,0,0,0.98,0,0,0,0,0,0,0,0,0,81.47,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,9.82,0,4.91,1.96,0,27.49,0.98,0,0,5.89,15.71,0,0,0,0,0,0,0,0,10.8,0.98,0.98,0,154.12,0,0,0,0,1.96,1.96,0,2.94,0,0,2.94,0,0
 84-94,0,0,2.12,0,14.87,0,0,12.74,0,1.06,0,2.12,20.18,0,0,2.12,0,0,1.06,0,0,5.31,0,0,0,81.78,0,0,1.06,0,3.19,6.37,0,0,0,0,0,0,0
 96-106,0,0,4.37,0,17.49,1.09,1.09,19.67,2.19,3.28,1.09,7.65,39.34,0,1.09,2.19,1.09,1.09,0,1.09,0,18.58,0,0,4.37,103.82,0,2.19,0,0,6.56,5.46,0,1.09,2.19,0,0,1.09,1.09
108-118,0,0,2.3,0,15.32,2.3,1.53,10.72,0.77,3.83,1.53,5.36,33.7,0,0,0,0.77,0.77,0,1.53,0,8.43,0,0,1.53,151.66,0.77,0.77,0.77,0.77,3.06,4.6,0,0.77,0.77,0.77,1.53,0,0.77
120,1.96,0,0,0,15.68,0,0,11.76,0,0,1.96,3.92,37.24,0,0,1.96,0,0,0,1.96,0,15.68,0,0,0,176.38,1.96,0,1.96,0,1.96,1.96,0,1.96,1.96,0,1.96,0,0
