stage,blastomeres,endoderm,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,15.73,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,0,0,0,0,5,1,18,0,0,0,0,1,1,2,19,4,0,0,0
 24-34,0,0,0,4.93,0,0,0,0,0,0.82,0,0,5.75,1.64,19.7,0,0.82,0,0,0,0,0,17.24,3.28,0,0,0
 36-46,0,0,0,4.03,3.22,0,0,2.42,0,0,0,0,0.81,5.64,14.5,0,0,0,0,0,0,1.61,0.81,2.42,0,0,0
 48-58,0,0,0,4.59,0.57,0,0.57,0,0,0,0,0,6.31,6.31,6.31,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,31.41,1.96,0,0,0.98,0,0,0.98,0,5.89,2.94,2.94,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0
 72-82,0,0,0,101.11,0.98,0,0.98,0,0.98,0,0,0.98,1.96,1.96,3.93,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,78.59,0,0,0,0,0,0,0,0,5.31,7.43,5.31,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,60.11,0,1.09,0,3.28,2.19,0,1.09,0,3.28,5.46,3.28,1.09,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,32.17,0.77,0,0.77,0.77,0,0,0.77,0,2.3,2.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,25.48,0,1.96,0,0,0,0,0,0,3.92,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,0
