stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,131.44,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,3.15,0,28.32,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,261.2,6.29,0,0,78.67,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,40,0,40,0,0,0,0,1,1,6,0,0,0,0,0,2,40,0,25,200,1,1,0,4,0,0,9,1,2,15,26,0,0,67,0,0
 24-34,0,0,0,0,4.93,3.28,0,76.34,0,0,6.57,3.28,0,0,9.85,0,0,0,0,0.82,2.46,139.55,0,50.07,314.39,0,1.64,0.82,0,0,2.46,0.82,2.46,0,3.28,52.53,0,0,289.76,0,0
 36-46,0,0,0,0,2.42,0.81,0,58.81,0,0,13.7,7.25,0.81,0,2.42,0,0,0.81,0,0.81,0.81,181.28,0.81,35.45,634.06,0,1.61,0,0,0,0.81,0,0,0,0,58.01,0,0,180.47,0,0
 48-58,0,0.57,0,0,4.59,0.57,0,137.14,0.57,0.57,21.8,42.46,0,0,4.59,0,0,0.57,0.57,1.15,1.15,261.66,0,32.13,1124.08,1.15,1.72,0,0,0,0.57,0,0,0,0,107.3,0,0,147.47,0.57,2.87
 60-70,0.98,0,0,0,5.89,0.98,0,386.72,0,0,14.72,40.24,2.94,0,3.93,0,0,0.98,0.98,0,0,364.14,4.91,28.46,1638.16,0,4.91,0.98,0,0,0.98,0,2.94,0,0,136.43,0,1.96,132.51,0,0.98
 72-82,0,0,4.91,0,2.94,2.94,0,637.1,0,0,27.49,75.59,4.91,0,7.85,1.96,0,0.98,0.98,0,0,408.37,6.87,35.34,1142.65,0,0.98,0.98,0,0.98,2.94,0,0.98,0,0,72.64,0.98,0,272.9,0,0.98
 84-94,0,0,2.12,0,13.81,4.25,0,367.46,0,0,22.3,52.04,4.25,0,6.37,3.19,0,0,0,2.12,0,281.44,10.62,23.36,575.62,1.06,3.19,0,0,1.06,4.25,0,0,0,0,33.99,0,0,255.95,3.19,0
 96-106,0,0,0,0,13.11,4.37,0,322.39,0,0,21.86,27.32,5.46,0,2.19,1.09,0,1.09,0,0,1.09,243.7,1.09,10.93,485.22,1.09,1.09,1.09,0,0,5.46,0,2.19,0,0,17.49,1.09,3.28,288.51,3.28,2.19
108-118,0.77,0,0,0,6.89,0.77,0,218.3,0,1.53,16.85,36.77,6.13,0,2.3,0.77,0.77,1.53,0,0.77,0,199.92,2.3,12.26,509.37,0,0,1.53,0,0.77,1.53,0,2.3,0,0,6.89,0,0,226.73,1.53,0.77
120,0,0,0,1.96,11.76,3.92,1.96,195.98,0,0,15.68,33.32,5.88,0,1.96,3.92,3.92,0,0,1.96,0,207.74,1.96,7.84,572.26,1.96,3.92,1.96,0,0,9.8,0,0,0,0,15.68,0,0,201.86,0,0
