stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,0,0,0,2,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,1,0,1,3,1,0,0
 24-34,0,0.82,0,0.82,0,6.57,0,16.42,0,0,0,0.82,0,13.13,0,0,0,0,1.64,0.82,10.67,4.1,0,0,0.82,0,1.64,0,2.46,0,0.82
 36-46,0,2.42,0,0.81,0,5.64,5.64,9.67,0,0,0,0,0,8.86,0.81,0,0,2.42,0.81,3.22,16.11,8.86,0,0,0,0,0.81,0,3.22,0,0
 48-58,0,0,0,0,0,10.9,8.61,9.75,0,0,0,0,0.57,6.89,0,0,0,2.3,0,1.72,22.38,4.59,0.57,0,12.62,0,0,0,1.72,0,0.57
 60-70,0,0,0,4.91,0,8.83,2.94,14.72,0,0.98,0,0,0,10.8,0,0,1.96,0,0.98,1.96,29.45,3.93,0.98,0,15.7,0,1.96,0,0.98,0.98,0
 72-82,0,2.94,0,9.82,1.96,22.58,8.83,4.91,0,1.96,0,0.98,0,25.52,0.98,0,0,3.93,0,0,44.17,7.85,0.98,0,53.99,4.91,2.94,0,1.96,9.82,0
 84-94,0,1.06,1.06,9.56,0,14.87,4.25,13.81,0,3.19,1.06,0,0,35.05,4.25,0,0,1.06,1.06,1.06,28.68,7.43,0,0,114.7,10.62,1.06,0,2.12,22.3,0
 96-106,0,1.09,0,18.58,0,15.3,8.74,3.28,1.09,3.28,0,0,0,50.27,10.93,2.19,0,5.46,4.37,3.28,18.58,4.37,1.09,0,74.31,8.74,3.28,0,1.09,25.14,1.09
108-118,0,1.53,0,16.09,0.77,12.26,7.66,13.79,0,2.3,0,0,0,45.19,16.09,0,1.53,6.13,4.6,0.77,29.11,4.6,1.53,0,76.6,11.49,3.83,0,0,43.66,0
120,0,0,0,13.72,0,3.92,3.92,11.76,0,0,3.92,0,0,21.56,11.76,0,0,3.92,1.96,1.96,25.48,0,0,0,19.6,13.72,0,0,0,11.76,0
