stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,3.28,0,0,0,0,0,26.27,0,0,0,0,1.64,0,0,0,12.31,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,9.67,0,0,0,0.81,0,54.79,0,0,0,0,2.42,0,0,1.61,11.28,0,0,0,0,0,1.61,0.81,0,0.81,3.22,0,0,3.22,0,0
 48-58,0,0,0,0.57,1.15,0,20.08,0,0,0,1.72,0,69.43,0.57,0.57,0,0,1.15,0,0,0,15.49,0,1.15,0,0,0,0,0,0,0,2.3,0,0,14.35,0,0.57
 60-70,0,0,0,3.93,7.85,0,33.37,0,0,0,23.56,0.98,99.13,0,0,0,0,10.8,0,0,0,41.22,0,0,0,0,0,0,0,0,0.98,0.98,0,0,19.63,0,0
 72-82,0,0,0,16.69,30.43,0,49.08,0.98,0,1.96,130.56,1.96,221.86,0,0,0,0,16.69,0,0,2.94,91.29,0,0,2.94,0,0.98,0,0.98,0,0,0.98,0.98,0.98,52.03,1.96,0
 84-94,0,2.12,0,19.12,35.05,0,49.92,0,1.06,0,84.96,3.19,251.7,0,0,0,0,16.99,0,1.06,1.06,41.42,0,0,0,0,0,2.12,0,0,0,1.06,3.19,0,45.67,0,3.19
 96-106,0,1.09,0,17.49,32.79,1.09,54.64,0,1.09,0,225.13,9.84,367.2,2.19,1.09,1.09,5.46,25.14,1.09,0,0,57.92,0,2.19,2.19,0,0,6.56,1.09,0,0,0,2.19,1.09,77.59,0,4.37
108-118,0,0.77,0,13.02,51.32,0.77,55.15,0,0.77,0,166.21,3.83,312.51,0,0,0,0,20.68,0.77,0.77,0.77,52.85,0.77,0,2.3,0,0,3.83,0,0,1.53,0,3.83,0.77,69.7,0.77,2.3
120,0,0,0,21.56,54.87,0,43.12,0,0,0,174.42,1.96,321.4,3.92,0,0,1.96,11.76,0,0,1.96,35.28,0,0,3.92,0,0,3.92,0,0,0,1.96,1.96,0,48.99,1.96,0
