stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,8,3,0,0,1,0,6,0,6,0,0,0
 24-34,0,0,0,0.82,0.82,1.64,0,0,0,0.82,0,0.82,0,0.82,0,0,0,28.73,0,0.82,2.46,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,5.64,0,1.61,0,0,0,0,0,2.42,0,0.81,0,29,0,3.22,0,0,0.81,0,0.81,12.89,0,0.81,0.81
 48-58,0,0,0,0,0,11.48,0.57,2.87,0,0,0,0,0,4.02,0,0,0.57,22.38,0,0.57,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,0,24.54,0,3.93,0,0,0.98,0,0,10.8,0,0.98,0,19.63,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,16.69,0,4.91,0,0,0,0,0.98,2.94,0,0.98,0,17.67,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,7.43,0,2.12,1.06,0,0,0,0,1.06,0,0,1.06,6.37,0,0,0,0,1.06,0,0,2.12,0,1.06,0
 96-106,0,0,1.09,1.09,0,5.46,1.09,2.19,1.09,0,0,0,0,0,0,0,0,9.84,0,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,3.83,0,0.77,0,0,0,0,0,1.53,0.77,0,0,12.26,0,0,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,5.88,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0
