stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,slow_muscle,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,0,0.57,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,6.37,5.31,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,8.74,5.46,1.09,2.19,0,0,2.19,1.09,0,1.09,0
108-118,0,0,0,6.89,2.3,0,0,0.77,0,0.77,2.3,0,0,0
120,0,0,0,5.88,3.92,0,0,0,0,0,0,0,0,0
