stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,1,0,0,1,2,0,1,2,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,3.28,0.82,0,0,0.82,0,0,0,4.93,0,2.46,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,10.47,0,0,0,0,0,1.61,0,0,0,4.03,0,1.61,0,0
 48-58,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0.57,22.95,0,0,0.57,0,0,0.57,0,0,0,5.74,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,56.93,0,0.98,1.96,0,0,0.98,0,0.98,0,0,0,2.94,0,0.98,0.98,20.61,0,0,0,0,0,1.96,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,2.94,0,262.1,0,0,1.96,0,0,0.98,0.98,0,0.98,0.98,0,7.85,0,0,0,29.45,0.98,2.94,0.98,0,0,1.96,0,0.98,0,1.96,2.94,3.93,0,0.98
 84-94,0,0,1.06,0,1.06,0,198.6,0,0,3.19,0,0,0,3.19,0,1.06,0,0,9.56,0,0,0,26.55,0,3.19,1.06,0,1.06,4.25,0,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,0,1.09,0,175.95,0,0,6.56,0,0,0,1.09,1.09,1.09,2.19,0,4.37,0,0,0,14.21,0,1.09,6.56,0,0,7.65,0,2.19,0,0,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0.77,144.77,0.77,0,1.53,0.77,0,0,0.77,0,2.3,0,0.77,1.53,0,0,0,19.15,0,0.77,1.53,0,0,2.3,0,1.53,0,1.53,1.53,0.77,0.77,0.77
120,0,0,0,0,7.84,0,103.87,1.96,0,5.88,0,0,0,0,0,1.96,1.96,0,5.88,0,0,1.96,13.72,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
