stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,237.2,4809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0
  5-6,91.94,1262.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,42,0,1,0,0,1,2,1,0,0,8,0,0,0,2,1,0,0,5,0,0,1,0,114,1,2,0,1,2,0,0,0
 24-34,0,0,0,18.06,0,2.46,2.46,0,0,1.64,0.82,0.82,0,30.37,0.82,0,0,0.82,2.46,0,2.46,21.34,0,7.39,0.82,0,164.17,0,4.1,0,0,2.46,0,1.64,0
 36-46,0,0,0,5.64,0,2.42,2.42,0,0,0,0,0,0,8.06,1.61,0,0.81,0.81,4.83,0,0,19.34,0,8.06,0.81,0,153.88,0,2.42,0,0,3.22,0,0,0
 48-58,0,0,0,3.44,0.57,3.44,2.87,0,0,0.57,1.15,0,0.57,5.16,1.15,0,0,2.3,3.44,0,0.57,16.07,0,4.59,1.15,0,57.38,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,5.89,0,2.94,1.96,0,2.94,0.98,0.98,0,0.98,3.93,0.98,0,0,0.98,0.98,0,0,13.74,0,3.93,0,0,59.87,0,1.96,0,0,0,0,0,0.98
 72-82,0,0,1.96,3.93,1.96,4.91,2.94,0,1.96,8.83,0,0,0.98,8.83,0.98,0,1.96,0,4.91,0,0,3.93,0,10.8,2.94,0,74.61,0,1.96,0.98,0,0.98,3.93,0,0
 84-94,0,0,5.31,27.61,0,0,11.68,0,0,12.74,3.19,0,1.06,18.05,0,0,0,0,4.25,0,1.06,4.25,0,5.31,1.06,0,152.93,0,2.12,0,0,1.06,3.19,0,0
 96-106,0,0,1.09,27.32,0,1.09,4.37,1.09,1.09,12.02,0,0,1.09,12.02,4.37,0,0,0,5.46,0,0,5.46,0,7.65,3.28,0,149.72,0,1.09,0,0,0,7.65,1.09,1.09
108-118,0,0,0.77,24.51,0,4.6,7.66,0,0,14.55,0,0,0.77,19.15,1.53,2.3,1.53,2.3,4.6,0,0,9.19,0,3.83,3.06,0,127.92,0,2.3,0,0,0.77,9.19,0,0
120,0,0,0,31.36,0,0,5.88,0,0,17.64,0,0,1.96,9.8,1.96,1.96,0,0,1.96,1.96,0,5.88,1.96,3.92,0,0,96.03,0,5.88,0,0,0,3.92,0,0
