stage,blastomeres,epidermis,erythrocytes,eye,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,2.63,0,0,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,0.82,0.82,3.28,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,7.25,0.81,0,0.81,1.61
 48-58,0,0,0,2.3,0,0,0,2.87,0,16.64,0,0,0,2.3
 60-70,0,0,0,2.94,0,0,0,3.93,0,23.56,0,0,0,0.98
 72-82,0,0,0,2.94,0,0.98,0,3.93,0,17.67,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,1.06,1.06,4.25,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,1.09,0,4.37,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0,0,0.77,0,6.13,0,0,0,0
120,0,0,0,1.96,0,0,0,5.88,0,15.68,0,0,0,0
