stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0
 24-34,0,0,0.82,1.64,0.82,0,0,0,1.64,0,0,0,0,0,0.82,4.1,0,0,0,0,13.13,0,1.64,0
 36-46,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,0,12.89,0,0,0,0,8.86,0,1.61,1.61
 48-58,0,0,1.15,1.72,0.57,0,0,0.57,0.57,0,0,0,0,0,0,17.21,0.57,0,0,0,6.89,0,1.72,0
 60-70,0,0,1.96,2.94,0.98,1.96,0,0,0,0.98,0,0,0.98,0,0,6.87,0,0,0.98,0,3.93,0.98,0.98,0
 72-82,0,0.98,0,7.85,0,1.96,0,0,0,0,0,0,1.96,0,0,8.83,0,0,1.96,0,4.91,0,0,0
 84-94,0,0,4.25,5.31,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,2.12,0,19.12,0,0,1.06
 96-106,0,0,5.46,1.09,2.19,1.09,0,0,1.09,0,1.09,0,0,0,0,2.19,0,0,1.09,0,13.11,0,0,0
108-118,0,0,3.06,2.3,0.77,0,0,0,0,0,0.77,0,0,0,0,3.06,0,1.53,0,0,7.66,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0,3.92,0,1.96,0,0,7.84,0,0,0
