stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,47.2,0,0,0,3.15,0,25.18,0,0,0,0,0
 14-21,0,0,2,0,2,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,4,11,2,0,0,0,0,0,14,0,167,480,13,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0.82,0,3.28,0,0,0,0,4.1,0.82,0,0,0.82,0,0.82,0,0,4.93,37.76,0,18.06,8.21,0,4.93,0,0.82,3.28,34.48,161.71,17.24,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,1.61,1.61,0,0,3.22,0,0,0.81,0,0,0,0,0.81,3.22,0,0,1.61,107.96,0,29,3.22,0,4.83,0,0,4.83,2.42,0.81,35.45,0,0.81,0,1.61
 48-58,0,0,0,0,1.72,0,0,2.3,2.87,0.57,0,6.31,0.57,0,6.31,0,0,4.02,0,0,4.59,0.57,0,8.61,73.45,0,25.82,7.46,0,3.44,0,0,1.72,1.72,0.57,36.72,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,13.74,6.87,1.96,0.98,34.35,0,0,11.78,0.98,0,5.89,0,0,4.91,2.94,0,6.87,165.88,0,32.39,16.69,0,6.87,0,0,0,0,0,34.35,0,0,0.98,0.98
 72-82,0,0,3.93,0,7.85,1.96,0,36.32,2.94,0,0,38.28,9.82,0,16.69,1.96,0.98,23.56,0,0,7.85,1.96,0.98,4.91,142.34,0,71.66,42.21,0,8.83,0,0,0.98,0,0,31.41,13.74,0.98,0.98,0.98
 84-94,0,0,4.25,0,6.37,0,0,11.68,2.12,1.06,0,15.93,9.56,1.06,35.05,1.06,1.06,22.3,2.12,0,1.06,0,0,8.5,66.91,0,62.66,57.35,0,36.11,0,0,1.06,0,0,12.74,32.92,0,3.19,0
 96-106,0,0,6.56,0,34.97,0,0,21.86,1.09,1.09,2.19,17.49,13.11,0,62.29,12.02,0,49.18,1.09,0,14.21,1.09,2.19,7.65,97.26,0,150.81,77.59,0,18.58,0,0,1.09,0,0,6.56,88.52,2.19,0,0
108-118,0,0,0.77,0,14.55,3.06,0.77,14.55,2.3,0.77,1.53,24.51,9.19,0,31.4,4.6,0,30.64,2.3,0,8.43,0,0,9.19,111.83,0,92.68,48.26,0,26.04,0,0,1.53,0,0,6.89,87.32,0.77,5.36,0
120,0,0,1.96,0,17.64,0,0,15.68,0,3.92,0,13.72,7.84,0,37.24,3.92,1.96,19.6,0,0,0,0,0,21.56,86.23,0,50.95,48.99,0,33.32,1.96,0,3.92,0,0,1.96,33.32,1.96,3.92,0
