stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,16,1,0,4,0,0,0,1,0,0,0,4,0,0,0,0,7,0,0,3,32,0,10,0,3,0,0,14,2,1,8,18,0,0,2,0,0
 24-34,0,0,0,0,1.64,0,0,4.1,0,0,0,0,0,0,0,22.16,0,0,0,0,4.93,1.64,0,0.82,34.48,0,3.28,0,0,0,0,0,0.82,0,0,10.67,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,19.34,0,0,0,1.61,0,0,0,10.47,0,0,0.81,0,0,0.81,0,0.81,52.37,0,0.81,0,0,0.81,0,0,0.81,0,0,24.17,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,110.74,0,0,0.57,1.72,0,0,0,2.87,0,0.57,1.15,0,2.3,1.15,0,0.57,61.4,0,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,520.21,0,0,0,3.93,0,0,0,5.89,0,0,0.98,0,10.8,0,0,0,163.91,0,0.98,0.98,0,0.98,0.98,0,0.98,0,0,46.13,0,0,0.98,0,0
 72-82,0,0,0,0,12.76,2.94,0,924.73,0.98,0,0,21.6,1.96,0,0,14.72,0,0,46.14,0.98,12.76,0,0.98,0,349.47,0.98,1.96,1.96,0,0.98,0,0,0.98,0,0,53.01,0,0,2.94,0,0
 84-94,0,0,0,0,10.62,2.12,0,968.58,0,0,0,15.93,1.06,1.06,0,22.3,2.12,0,90.27,0,10.62,0,1.06,1.06,240.02,2.12,1.06,0,0,3.19,0,0,1.06,0,0,28.68,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,12.02,3.28,0,723.46,1.09,0,0,20.76,2.19,0,4.37,42.62,1.09,2.19,473.2,0,28.41,3.28,1.09,1.09,276.49,2.19,2.19,1.09,0,6.56,0,0,1.09,0,0,18.58,6.56,0,3.28,0,0
108-118,0,0,0.77,0,9.96,3.83,0.77,500.17,0,2.3,0,20.68,0.77,0,0,30.64,0,3.06,853.28,1.53,16.09,0.77,0,1.53,322.47,0.77,3.83,2.3,0,3.06,0,0,1.53,0,0,21.45,3.06,0.77,0.77,0.77,0.77
120,0,0,0,0,9.8,1.96,0,393.92,1.96,5.88,0,19.6,1.96,0,0,13.72,0,1.96,460.55,0,7.84,1.96,0,1.96,266.53,3.92,3.92,0,0,1.96,0,0,0,0,0,17.64,1.96,0,0,1.96,1.96
