stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0
 24-34,1.64,0.82,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,63.21,12.31,0,0,0,0,0,0.82,12.31,0,0,0,0
 36-46,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.77,4.83,0,0,0.81,0,2.42,0,21.75,0,0,0,0
 48-58,1.15,0,0,0,0,10.33,0.57,0,0,4.02,0,0,0,0,0,0,0,2.87,0,0,0.57,191.65,4.02,0,0.57,0,0,2.3,0,39.59,0,0,0,0
 60-70,0,0.98,2.94,0,0,28.46,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0.98,0,0,404.39,4.91,0,0.98,0,0,3.93,0,27.48,0,0,0,0
 72-82,0,0.98,3.93,3.93,0,77.55,0,0,0,10.8,0.98,0.98,0.98,0.98,0.98,0,0.98,34.36,0.98,1.96,3.93,636.12,2.94,0,1.96,0,0,4.91,0,42.21,0,1.96,0.98,3.93
 84-94,1.06,1.06,4.25,1.06,0,65.85,0,0,1.06,12.74,1.06,0,1.06,0,2.12,0,0,5.31,0,1.06,0,300.56,4.25,0,0,0,0,0,0,29.74,0,0,0,1.06
 96-106,2.19,0,3.28,2.19,1.09,72.13,0,0,0,18.58,2.19,0,0,0,0,0,0,7.65,0,1.09,2.19,352.99,2.19,1.09,0,3.28,1.09,3.28,0,22.95,1.09,1.09,1.09,1.09
108-118,0,6.89,8.43,0,0,57.45,0,0.77,0,9.96,0.77,0,0,0.77,0,0.77,0,8.43,0.77,0,1.53,462.64,3.83,0.77,0.77,1.53,0,0.77,0,16.09,0,1.53,0,1.53
120,0,1.96,7.84,1.96,0,39.2,0,0,1.96,7.84,1.96,0,0,0,0,0,0,3.92,1.96,1.96,1.96,464.47,1.96,0,1.96,3.92,1.96,0,0,13.72,0,1.96,0,1.96
