stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,6,1,5,0,2,0,0,0,0,0,0,0,9,0,0,4,43,0,2,2,17,0,15,14,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0,4.1,0,0,0,29.55,0,0,3.28,0,0,0,9.03,0,0,1.64,1.64
 36-46,0,0,0,0.81,2.42,0,4.83,0,0.81,0,0,0,0.81,0,9.67,0,0,0.81,23.36,0,0,0.81,0.81,0.81,0,4.83,0,0,0.81,0.81
 48-58,0,0,0.57,0,1.72,0.57,0,0,0,0,0,1.15,0.57,0,8.61,0,0.57,1.15,7.46,0,0,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0.98,0,5.89,0.98,3.93,0,0,0,0,0,0.98,0,4.91,0,0,1.96,1.96,0,0,0.98,0,0,0,1.96,0,0,0,0.98
 72-82,0.98,0.98,4.91,0,3.93,1.96,2.94,0,0.98,0,0,0.98,0,1.96,11.78,0.98,2.94,2.94,10.8,0.98,0,1.96,0,0,0,0.98,0,0,2.94,1.96
 84-94,1.06,0,3.19,0,0,1.06,2.12,0,0,1.06,0,0,0,1.06,7.43,0,2.12,1.06,3.19,0,0,4.25,0,0,0,0,0,0,3.19,0
 96-106,0,0,2.19,1.09,0,0,1.09,0,1.09,0,1.09,0,0,0,9.84,0,0,0,3.28,0,0,1.09,0,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,4.6,0,2.3,0,0.77,0.77,0,0.77,0,0.77,0,0,4.6,0,0.77,0,3.06,0,0,0.77,0,0,0,0,0.77,0,0,0
120,1.96,0,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
