stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,1,1,0,0,1,6,0
 24-34,0,0.82,0,0.82,0.82,0,0,0,0,0,0,1.64,0,0,1.64,5.75,0,0,0,0.82,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0,2.42,0,0,0,0,3.22,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,1.72,0,0,0,2.87,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,3.93,0,0,0,0,0.98,0,0,0.98,0,0,0.98,12.76,0,0,0,0.98,0,0,0.98,0,0,0.98
 72-82,0,1.96,0,9.82,0,0,0,0.98,0,0,0,3.93,0,0.98,0.98,8.83,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,6.37,0,0,0,0,0,0
 96-106,0,2.19,0,4.37,0,1.09,0,0,0,1.09,0,3.28,1.09,0,0,3.28,1.09,0,0,1.09,0,0,0,0,1.09,0
108-118,0,3.06,0,1.53,0,0,2.3,0,0,0,0.77,2.3,0,0,0,2.3,0,0,0,2.3,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
