stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,spinal_cord,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.21,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,16.11,0,0,0
 48-58,0,0,0,0,0,0,0,20.66,0,1.15,0
 60-70,0,0,0,0,4.91,0,0,63.8,0,8.83,0
 72-82,0,0,0,0,5.89,0,0,64.79,0,6.87,0
 84-94,0,1.06,1.06,0,5.31,2.12,0,29.74,0,1.06,1.06
 96-106,0,0,1.09,0,12.02,0,0,33.88,0,2.19,0
108-118,0,0,0.77,0.77,6.13,1.53,0,31.4,0,0.77,0
120,0,0,0,0,7.84,0,0,31.36,0,3.92,0
