stage,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,9,1,0,0,0,0,1,1,6,0,1,0,1,2,1,7,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,12.31,0,0,0,0,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,24.98,0,0,0,0,0,0,8.06,0,0.81
 48-58,0,0,0,4.59,0.57,0,0,0,0,34.43,0,0,0,0,0,0,10.9,0,0
 60-70,0,0,0,9.82,0,0,0,0,0,19.63,0,0.98,0.98,0,0,0,3.93,0,0
 72-82,0,0,0,8.83,0,0,0,0,0,15.71,0,0,4.91,0,0,0,2.94,0,0
 84-94,0,0,0,5.31,0,0,0,1.06,0,3.19,0,0,1.06,0,0,0,1.06,0,1.06
 96-106,0,1.09,0,2.19,0,0,0,0,0,3.28,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,2.3,0,0,0,0,0,5.36,0,0,2.3,0,0,0,0.77,2.3,0.77
120,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,1.96,0
