stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,31.54,0,0,444.25,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,116.44,34.62,0,0,349.31,0,22.03,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,277,3,0,5,0,1,0,24,13,0,4,0,7,0,1,0,14,3,0,12,383,10,0,12,15,0,192,0,63,0,0,11,232,0,0,1,0,0
 24-34,0,0,1.64,6.57,283.2,0.82,0,16.42,0,18.06,0,19.7,8.21,0,8.21,0.82,8.21,0,1.64,0.82,41.04,5.75,0,20.52,493.33,0.82,13.13,10.67,0,1.64,382.52,0,0,1.64,0.82,3.28,178.13,0,0,12.31,0,0
 36-46,0,0,0,0.81,123.27,0,0,11.28,0,31.42,0,14.5,2.42,0.81,9.67,0.81,3.22,0.81,4.03,2.42,62.04,11.28,3.22,8.86,486.62,1.61,15.31,3.22,0,0,339.99,0,0,0,0,0,133.74,0,0,7.25,0,0
 48-58,0,0,0,0,83.78,0.57,0,51.07,0,58.53,0,25.25,0.57,0,4.59,2.3,1.72,1.15,1.15,0,55.09,10.9,7.46,8.03,519.87,0,5.74,8.03,0,0.57,252.47,0,0,1.15,0,0,80.91,0,0,12.05,0,0
 60-70,0,0,0,0,114.84,0.98,0,163.91,0,62.82,0.98,52.02,3.93,0,0,6.87,7.85,1.96,3.93,0.98,89.32,13.74,5.89,2.94,1035.51,0.98,11.78,4.91,0,0,243.42,0,0,1.96,0,0,75.58,1.96,2.94,11.78,2.94,2.94
 72-82,0,0,1.96,0,134.49,1.96,0,333.77,0,75.59,0.98,77.55,9.82,2.94,2.94,5.89,3.93,1.96,5.89,0.98,127.62,20.61,11.78,6.87,1139.71,0.98,19.63,11.78,0,2.94,249.34,0.98,0,1.96,0,0,63.81,3.93,4.91,35.34,15.71,0
 84-94,0,0,0,2.12,240.02,1.06,0,231.52,1.06,127.44,1.06,56.29,20.18,1.06,3.19,12.74,22.3,6.37,6.37,5.31,94.52,19.12,9.56,4.25,572.44,0,35.05,8.5,0,3.19,587.31,0,0,4.25,0,0,45.67,27.61,1.06,22.3,13.81,1.06
 96-106,0,0,0,0,313.65,3.28,1.09,240.43,0,136.61,3.28,67.76,22.95,1.09,3.28,24.04,21.86,4.37,8.74,7.65,107.1,31.69,7.65,6.56,567.19,2.19,32.79,15.3,0,1.09,532.22,0,0,3.28,0,0,15.3,33.88,2.19,20.76,19.67,1.09
108-118,0,0,1.53,3.06,301.79,1.53,2.3,194.55,0.77,180,0.77,55.92,37.53,0,1.53,13.79,27.57,3.83,3.83,10.72,98.04,26.04,10.72,5.36,604.34,0.77,29.11,16.09,0,1.53,364.6,0,0,3.83,0,0,14.55,52.09,1.53,17.62,6.89,0
120,0,0,0,0,280.25,0,3.92,184.22,0,111.71,1.96,43.12,19.6,0,3.92,25.48,17.64,1.96,3.92,13.72,62.71,15.68,15.68,3.92,660.45,0,17.64,13.72,0,1.96,325.32,0,0,3.92,0,0,15.68,25.48,0,21.56,9.8,0
