stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
 24-34,1.64,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,25.45,0,0,0,0
 36-46,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,0
 48-58,3.44,0,0.57,0,0,0,0,0,0,0.57,0.57,0.57,1.15,0,0,6.89,0,0,0.57,0
 60-70,2.94,0,0.98,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0,7.85,0,0,0,0
 72-82,6.87,0,1.96,0,0,0,0,0,0,0,0,0,2.94,0,0,13.74,0,0,0,0
 84-94,9.56,0,1.06,0,0,0,0,2.12,0,1.06,0,0,0,0,0,42.48,0,0,0,0
 96-106,6.56,0,4.37,0,1.09,0,0,0,1.09,2.19,0,0,2.19,0,0,38.25,0,0,0,1.09
108-118,11.49,0,3.06,0.77,0,0.77,0,1.53,0,2.3,0,0,0.77,0,0,34.47,0,0,0.77,0
120,21.56,1.96,5.88,0,0,0,0,0,0,1.96,3.92,0,0,0,0,48.99,0,1.96,0,0
