stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,619.36,12940.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,563.93,6491.28,12.26,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,171.63,12.26,0,0,55.17,0,514.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,107.78,102.52,231.33,0,0,0,289.16,0,0,0,0,0,149.84,0,0,0,0,0,0,0,0,0,0,0,2799.58,94.63,0,0,1285.44,0,78.86,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,110.14,138.47,0,31.47,0,280.08,0,0,0,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,2602.54,59.79,0,0,1167.53,0,22.03,22.03,6.29,119.58,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,13,133,35,0,59,0,0,0,11,6,0,1,0,3,0,0,1,0,67,0,0,71,716,23,4,9,25,0,66,1,149,6,1,124,255,0,0,6,0,0
 24-34,0,0,6.57,44.33,9.03,0,166.63,0,0,0.82,22.98,0.82,0,0.82,12.31,0.82,1.64,1.64,4.1,0.82,136.26,0,1.64,62.39,1286.28,16.42,13.13,16.42,0,0,154.32,0,0.82,2.46,0,6.57,330.81,0,0,30.37,0,2.46
 36-46,0,0,0,29,5.64,0,323.07,0,0.81,0.81,15.31,1.61,0,2.42,3.22,1.61,2.42,0.81,0,1.61,113.6,0,3.22,41.09,888.65,4.03,6.45,4.03,0,0,55.59,0.81,0,2.42,0,0,228.81,0,0,8.06,0,2.42
 48-58,0,0,0,23.53,4.59,0,405.68,0,0,1.15,26.4,2.87,0,2.87,6.31,0.57,1.72,0,1.15,0.57,153.21,1.15,6.89,36.72,446.99,2.3,4.59,2.87,0,1.15,20.08,0,0,0.57,0.57,0,85.5,0,0,9.18,0,5.16
 60-70,0,0,0,29.45,4.91,0,292.49,0.98,1.96,1.96,30.43,7.85,0,0,1.96,0.98,4.91,2.94,1.96,0,109.93,0,13.74,17.67,211.03,3.93,2.94,1.96,0,0,17.67,0,0,0.98,0,0,7.85,0,0,5.89,0,1.96
 72-82,0,0,0,29.45,4.91,0,124.67,1.96,0.98,0,32.39,10.8,0,1.96,2.94,0,3.93,0.98,1.96,0,109.95,0.98,10.8,14.72,165.9,0.98,3.93,0,0,0.98,8.83,0,0,1.96,0,0,9.82,1.96,0.98,13.74,0,0.98
 84-94,0,0,0,31.86,6.37,4.25,88.15,0,0,0,25.49,16.99,0,1.06,5.31,2.12,8.5,1.06,3.19,1.06,77.53,0,11.68,15.93,117.89,4.25,1.06,4.25,0,1.06,19.12,0,0,4.25,0,0,1.06,2.12,0,9.56,0,0
 96-106,0,0,0,15.3,7.65,4.37,64.48,0,1.09,0,18.58,6.56,0,3.28,6.56,1.09,1.09,2.19,2.19,0,55.74,0,3.28,9.84,98.36,1.09,2.19,4.37,0,0,15.3,0,0,0,0,0,3.28,0,0,7.65,2.19,0
108-118,0,0,0,13.02,9.96,0.77,65.11,0,0.77,0.77,23.74,6.89,0,0,8.43,1.53,3.83,0.77,4.6,0.77,37.53,1.53,3.06,10.72,122.55,3.06,0.77,0.77,0,0,7.66,0,0,3.06,0,0,2.3,0.77,0.77,9.19,0,0.77
120,0,0,0,3.92,15.68,0,56.83,0,0,0,27.44,5.88,0,0,15.68,0,1.96,0,5.88,0,19.6,0,1.96,7.84,123.47,0,1.96,3.92,0,0,11.76,1.96,0,0,0,0,3.92,1.96,0,7.84,0,0
