stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,2,0,0,0,3,0,0,0,0,0,0,1,18,0,0,0,2,0,0,0,0,1,10,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,1.64,0.82,0,0,0,0.82,0,0.82,32.01,0,3.28,0.82,0,0,0.82,0.82,0,0,11.49,0,0,0.82
 36-46,0,0,0,0,0,9.67,0,0,0,0.81,0,0,0,0,3.22,0,0.81,56.4,0,2.42,0,0,0,0,0,0.81,0,7.25,0,0,0.81
 48-58,0,0,0,0.57,0,12.62,0,0,0,3.44,0,0,0,0.57,2.87,0,1.15,68.86,0,5.16,0.57,0,0,0.57,0,0,0,13.2,0,0,1.15
 60-70,0,0,0,0,0,10.8,0.98,0,0,6.87,0,0,0,0,1.96,0.98,0,92.26,0,2.94,0,0,0,0.98,0,0,0,9.82,0,0,0
 72-82,0,0.98,0,0.98,0.98,21.6,0,0,0,15.71,0,0,0.98,0,10.8,0,0,126.63,0,3.93,0.98,0,0,0,0,0,0,8.83,0,0,0
 84-94,0,0,0,0,0,9.56,0,0,1.06,5.31,0,1.06,0,0,7.43,1.06,0,53.1,1.06,2.12,0,0,0,0,0,1.06,0,6.37,1.06,0,1.06
 96-106,0,0,0,3.28,0,7.65,0,1.09,0,2.19,0,0,0,0,3.28,0,0,44.81,0,3.28,2.19,0,0,1.09,1.09,0,0,1.09,0,2.19,1.09
108-118,0,0.77,0.77,1.53,0,8.43,0,0,0,3.06,0,0,0,0,3.06,0,0.77,44.43,0.77,2.3,0,0,0.77,1.53,0,0,0,1.53,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,1.96,35.28,0,0,0,0,0,1.96,0,0,0,0,0,0,0
