stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,9.44,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,2,285,1,0,0,0,0,1,1,1,7,152,0,0,0,0,0
 24-34,0,1.64,0,5.75,0,0,13.13,0,0,0,2.46,0,0.82,0,0,0.82,0,0.82,0,0,7.39,0,0,1.64,1024.43,0,2.46,1.64,0,0,0.82,0,0,3.28,262.67,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,91.04,0,0,0,21.75,0,0.81,0,0,0,0,0,0,0.81,18.53,0,0,3.22,2412.17,0.81,8.06,4.83,0,0.81,0.81,0,0,0,452.79,0,0.81,1.61,0,0.81
 48-58,0,2.3,0,4.02,0,0,381.58,0,0,1.15,68.86,0,0.57,0.57,0.57,0,0,0.57,0,2.3,27.54,0,1.15,4.02,2939.03,0.57,4.59,2.3,0,0,3.44,0,0,0,484.87,0,0.57,1.72,0,1.15
 60-70,0,0,0,3.93,0.98,0,1101.27,0.98,0,2.94,118.76,0,0,0,1.96,0.98,0,0.98,0,0.98,27.48,0.98,0,4.91,3466.74,1.96,5.89,1.96,0,0,5.89,0,0,0,364.14,0,0,0.98,0,4.91
 72-82,0,1.96,0,18.65,6.87,0,1298.74,0.98,0.98,2.94,128.6,0,0,2.94,3.93,0,0,3.93,0.98,1.96,54.97,1.96,2.94,6.87,2110.57,0,8.83,10.8,0,0,1.96,0,0,0,131.54,0,2.94,4.91,3.93,2.94
 84-94,0,0,0,19.12,1.06,0,971.76,0,1.06,1.06,97.71,1.06,0,0,2.12,2.12,2.12,0,2.12,0,32.92,0,2.12,4.25,1025.93,1.06,6.37,10.62,0,1.06,7.43,0,0,0,56.29,3.19,3.19,0,3.19,1.06
 96-106,0,2.19,0,16.39,1.09,0,708.16,1.09,2.19,0,81.96,4.37,0,1.09,4.37,0,2.19,3.28,0,0,31.69,0,6.56,0,730.02,0,7.65,14.21,0,1.09,4.37,0,0,0,28.41,6.56,0,3.28,10.93,1.09
108-118,0,1.53,0,12.26,0,0.77,471.07,0,0.77,0.77,72.77,0.77,0,0.77,3.06,0.77,0,4.6,1.53,0,33.7,0.77,1.53,1.53,887.75,0,5.36,13.02,0,0,3.06,0,0,0,17.62,3.06,1.53,2.3,3.06,0
120,0,1.96,0,17.64,5.88,0,462.51,0,0,7.84,62.71,3.92,0,0,1.96,0,0,1.96,0,0,27.44,0,1.96,0,811.35,1.96,3.92,7.84,0,0,3.92,0,1.96,0,29.4,0,0,3.92,0,1.96
