stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,44.69,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,22.03,0,25.18,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,44,8,0,3,0,0,0,1,3,0,0,0,13,0,0,0,0,2,1,0,3,222,1,3,0,0,0,340,2,1,1,0,2,127,0,0,5,0,0
 24-34,0,1.64,0,45.97,1.64,0,22.98,0,5.75,0.82,11.49,0.82,0,1.64,0.82,38.58,0.82,0.82,0.82,0.82,26.27,10.67,0,14.78,897.2,0.82,74.7,1.64,0,0,742.87,0.82,0,1.64,0.82,3.28,358.71,0,0,16.42,0,4.1
 36-46,0,1.61,0,24.17,0,0,110.38,0,11.28,3.22,49.95,0.81,0,0,2.42,16.11,0,1.61,0.81,1.61,35.45,17.72,0,6.45,1727.35,0,89.43,4.03,0,0,799.22,1.61,0,0,0,0,579.28,0,0.81,9.67,0,8.06
 48-58,0,1.15,0,32.13,5.74,0,484.29,0,16.07,3.44,166.98,1.72,0,0.57,2.3,5.74,1.15,1.72,1.15,1.72,76.89,8.03,2.3,7.46,2318.75,0.57,66.56,2.3,0,0.57,646.68,0,0,0.57,0,0,624.3,0,0,13.2,0,17.79
 60-70,0,0,0,43.19,3.93,0,837.24,0.98,18.65,1.96,271.88,1.96,0,0.98,4.91,10.8,1.96,1.96,0,0.98,77.54,6.87,3.93,3.93,3410.79,0.98,57.91,1.96,0,1.96,544.74,0.98,0,0,0.98,0,606.58,2.94,0,5.89,0.98,12.76
 72-82,0,4.91,0,107,53.01,0,1090.63,0,20.61,4.91,348.49,17.67,0.98,5.89,15.71,28.47,7.85,9.82,3.93,3.93,215.97,7.85,10.8,10.8,3909.96,0,103.07,15.71,0,0.98,552.68,0.98,0,1.96,0,0,483.96,16.69,1.96,17.67,3.93,23.56
 84-94,0,6.37,0,213.47,42.48,0,865.56,1.06,57.35,2.12,263.39,22.3,1.06,0,8.5,43.54,5.31,4.25,2.12,10.62,115.76,18.05,11.68,9.56,2271.7,3.19,111.51,14.87,0,2.12,1452.87,0,0,1.06,0,0,246.39,55.23,2.12,23.36,9.56,11.68
 96-106,0,6.56,0,248.08,53.55,2.19,565,4.37,62.29,4.37,241.52,27.32,0,3.28,28.41,66.66,5.46,10.93,3.28,3.28,121.31,12.02,16.39,5.46,1907.02,3.28,177.04,37.16,0,3.28,1101.59,2.19,0,3.28,0,0,143.16,113.66,3.28,27.32,5.46,20.76
108-118,0,1.53,0,210.64,36,5.36,418.22,0.77,72,1.53,181.53,23.74,0,0,28.34,45.96,2.3,7.66,6.13,6.89,114.89,18.38,10.72,5.36,2525.38,0.77,99.58,20.68,0,4.6,813.45,0.77,0,1.53,1.53,0,103.41,100.34,1.53,16.09,5.36,11.49
120,0,1.96,0,195.98,37.24,0,411.55,0,47.03,1.96,160.7,23.52,0,0,17.64,27.44,1.96,9.8,9.8,5.88,94.07,11.76,5.88,3.92,2873.05,1.96,70.55,15.68,0,0,568.34,0,0,0,0,0,125.43,35.28,0,17.64,3.92,1.96
