stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural,olfactory,periderm,slow_muscle,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,2.46,0,0.82,0,0,1.64,0,36.94,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,53.17,0,1.61,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0.57,0,0,0.57,0,4.02,0,33.85,0,0.57,0
 60-70,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,2.94,0,53,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0,0,0.98,0,0.98,0,0,5.89,0,34.36,0,0,0
 84-94,0,0,2.12,0,3.19,0,0,0,0,1.06,0,0,2.12,0,4.25,0,151.87,0,0,0
 96-106,0,0,9.84,0,4.37,0,0,1.09,1.09,1.09,0,3.28,1.09,0,4.37,0,107.1,0,0,1.09
108-118,0,0,6.13,0,2.3,0.77,0.77,0,0,2.3,0.77,2.3,1.53,0.77,1.53,0,73.53,0,0.77,0
120,0,0,5.88,0,1.96,0,1.96,0,0,3.92,0,0,0,1.96,1.96,1.96,101.91,1.96,0,1.96
