stage,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,5
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,9.85,0,0,0,0,2.46
 36-46,0,0,3.22,0.81,0,0,0,0.81,0,1.61,0,0,35.45,0,0,0,0,7.25
 48-58,0,0,5.16,1.72,0,0.57,0,0,0,0,0,0.57,10.9,0,0,0,0,1.72
 60-70,0,0,6.87,2.94,0,0,0,0,0,0,0.98,0,11.78,0,0,0,0,4.91
 72-82,0,0,4.91,0,0,0,0,0,0,3.93,0,0,14.72,0,0,0,0,0
 84-94,1.06,0,5.31,2.12,0,0,0,0,0,4.25,1.06,0,11.68,0,0,0,0,2.12
 96-106,0,0,5.46,2.19,0,0,1.09,0,0,1.09,0,1.09,7.65,0,1.09,0,0,1.09
108-118,0,0,0.77,0,0,0,0,0,0.77,2.3,0,0.77,9.96,0,0.77,0,0,0
120,0,1.96,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
