stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,458,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,17,2,0,1,5,2,0,1,0,0,0,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,0.82,905.4,1.64,0,9.03,0,18.06,0.82,0,0.82,0.82,4.93,0,0,0,0.82,0,0,191.26,17.24,0.82,35.3,85.37,46.79,0.82,3.28,0,2.46,4.93,0.82,0,0.82,14.78,0,0,2.46,0,0
 36-46,0,0,0,0,722.69,0,0,14.5,0,49.95,19.34,2.42,0,0,13.7,0,1.61,0,2.42,0,0.81,643.73,11.28,5.64,84.6,98.29,52.37,2.42,1.61,0,1.61,6.45,2.42,0.81,0,18.53,0,1.61,2.42,0,0
 48-58,0,0,0,0,703.48,1.15,0,45.9,0,89.51,43.04,8.03,0,0.57,10.9,5.16,0.57,0.57,4.59,0.57,1.72,1027.11,8.61,11.48,100.99,147.47,22.95,0.57,4.02,0,1.15,2.3,0,0,0,24.1,0,1.72,2.87,0,2.3
 60-70,0,0,0,0,618.36,1.96,0,49.08,0,70.67,40.24,6.87,2.94,0,2.94,12.76,0,0,5.89,1.96,0,1397.69,9.82,15.7,67.73,91.28,9.82,0,12.76,0,1.96,5.89,1.96,0,0,15.7,0,9.82,1.96,0.98,0.98
 72-82,0,0,0.98,0,665.57,4.91,0,111.91,0.98,77.55,69.7,17.67,1.96,0,6.87,22.58,0,4.91,6.87,0,1.96,1966.27,14.72,44.17,92.28,134.49,4.91,0.98,19.63,0,1.96,6.87,0,0.98,0,8.83,1.96,19.63,1.96,13.74,0
 84-94,0,0,0,0,1116.2,2.12,1.06,167.8,3.19,139.13,46.73,11.68,5.31,0,6.37,23.36,2.12,3.19,3.19,1.06,0,1438,9.56,25.49,59.47,54.16,2.12,2.12,23.36,0,1.06,6.37,1.06,0,0,6.37,2.12,20.18,0,19.12,1.06
 96-106,0,0,0,0,1095.03,8.74,1.09,122.4,0,132.23,39.34,28.41,6.56,0,6.56,27.32,6.56,0,1.09,2.19,0,1367.15,17.49,33.88,45.9,121.31,2.19,3.28,27.32,0,2.19,14.21,2.19,0,0,1.09,2.19,31.69,2.19,28.41,0
108-118,0,0,0,0,962.82,2.3,3.06,45.19,0.77,136.34,25.28,7.66,6.13,0,2.3,17.62,2.3,1.53,1.53,0.77,0.77,1277.63,6.89,26.04,45.19,112.6,2.3,0.77,29.11,0,1.53,6.89,2.3,0,0,2.3,0.77,25.28,2.3,13.79,0
120,0,0,0,0,507.58,5.88,0,35.28,0,66.63,11.76,5.88,0,0,7.84,17.64,0,0,3.92,1.96,0,948.54,1.96,17.64,35.28,80.35,1.96,1.96,25.48,0,1.96,5.88,0,0,0,1.96,3.92,19.6,0,19.6,1.96
