stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0,3.28,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0.81,0.81,0.81,0,8.86,0.81,0,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,6.31,0,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0
 72-82,0,2.94,0,0,0,0.98,2.94,0,0,0.98,0,1.96,0,2.94,0,11.78,1.96,0,1.96,0.98,0,0.98
 84-94,0,6.37,0,1.06,1.06,0,2.12,1.06,0,0,1.06,3.19,1.06,0,0,18.05,0,0,2.12,0,0,0
 96-106,0,4.37,4.37,0,0,0,5.46,0,0,1.09,0,0,1.09,3.28,0,12.02,2.19,0,3.28,0,0,0
108-118,0,6.89,1.53,1.53,0,0,3.06,0.77,0,0,0,3.06,0,0.77,0,15.32,0,0,0.77,0,0.77,0
120,0,3.92,1.96,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,17.64,0,0,5.88,0,0,0
