stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 14-21,0,5,49,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,6,0,0,0,6,1,0,2,3,0,0,26,0,0
 24-34,0,12.31,3.28,0,0.82,0.82,0,0,0,1.64,6.57,0,0,0,0.82,0,0,0,0,0.82,22.16,0,0,0,7.39,0,0,0,5.75,0,0,108.35,0,0
 36-46,0,16.11,0,0,0,1.61,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,41.89,0.81,0,0,3.22,0,0,0,7.25,0,0,60.43,0,0.81
 48-58,0,9.75,0.57,0,5.16,6.89,0,2.3,0,2.3,2.3,0,0,0,0,0,0.57,0,0,0.57,56.81,0,0.57,0,1.15,0,0,0,8.61,0,0,43.61,0,0
 60-70,0,7.85,0.98,0,6.87,14.72,0.98,14.72,0,0,0.98,0,0,0,0,1.96,4.91,0,0,0,156.06,0,0,0,0,0,0,0,19.63,0,0,52.02,0,0
 72-82,0,13.74,0.98,0,25.52,4.91,0,104.06,0.98,0,7.85,0,0,0,2.94,13.74,25.52,0,0,0,194.37,0.98,0,1.96,7.85,0,0,0,14.72,0,0,142.34,0.98,0
 84-94,0,41.42,0,0,21.24,18.05,0,56.29,0,2.12,1.06,1.06,1.06,1.06,1.06,26.55,6.37,0,2.12,0,104.08,0,0,0,12.74,0,0,0,8.5,0,0,107.27,1.06,0
 96-106,0,32.79,1.09,0,15.3,19.67,1.09,63.39,2.19,0,6.56,1.09,0,0,0,14.21,8.74,1.09,0,0,75.41,0,0,0,29.51,0,1.09,0,2.19,0,1.09,130.05,4.37,0
108-118,0,50.55,1.53,1.53,14.55,31.4,0,81.19,1.53,0,0.77,0.77,0,0,1.53,51.32,13.02,1.53,0,0,85.02,0,0,0,16.85,0,0,0,3.06,1.53,0.77,96.51,0.77,0
120,0,68.59,0,0,11.76,27.44,0,52.91,1.96,0,5.88,0,3.92,0,0,25.48,11.76,0,0,0,86.23,1.96,1.96,0,23.52,0,0,0,1.96,1.96,0,109.75,3.92,0
