stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,4,0,1,53,1,0,1,1,0,3,25,0,0,0
 24-34,0,0,2.46,0,14.78,0,0,0,0.82,0,0.82,0,0,0,0,4.1,0,0,137.08,3.28,0.82,1.64,0,0,0.82,39.4,3.28,0,0
 36-46,0,0,0.81,0,16.11,0,0,12.89,0,0.81,0,0,0.81,0.81,0,7.25,0,3.22,71.7,1.61,0.81,0,0.81,0,0,14.5,0.81,0,0
 48-58,0,0,0,0,5.74,0,0,22.95,0,0.57,0,0,0,0,0,6.31,0,0.57,33.85,0.57,1.72,0.57,0,0,0,12.05,1.15,0,0.57
 60-70,0,0,0,0,24.54,0,0.98,18.65,0.98,0.98,0,0.98,0.98,0.98,0,18.65,0,3.93,46.13,0.98,0,1.96,1.96,0,0,9.82,0,0,0
 72-82,0,0,0.98,0,23.56,0.98,0,57.92,0,0,0,0,0.98,0,0,29.45,0,6.87,28.47,0,0,2.94,0.98,0,0,5.89,1.96,0.98,0
 84-94,0,1.06,2.12,0,6.37,0,0,31.86,1.06,0,0,0,0,0,0,19.12,0,4.25,10.62,0,1.06,1.06,1.06,0,0,2.12,1.06,0,0
 96-106,0,0,1.09,1.09,20.76,0,0,31.69,0,0,0,0,0,1.09,1.09,18.58,1.09,4.37,17.49,0,2.19,3.28,1.09,0,0,1.09,0,0,2.19
108-118,0.77,0,0.77,0.77,14.55,0.77,0,32.17,0.77,0,0,0,0,0.77,0,10.72,0,4.6,23.74,0,0,0.77,0,0.77,0,2.3,2.3,0,1.53
120,1.96,0,0,0,13.72,0,0,41.16,0,0,0,0,0,0,0,7.84,0,0,33.32,0,0,0,3.92,0,0,0,0,0,0
