stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,90,19,1,0,0,0,0,0,19,1,0,0,0,2,0,2,2,2,1,0,0,0,1,24,0,0,0
 24-34,0,0,66.49,13.13,0,0.82,0,0,0,0,18.06,0,0,0.82,4.1,7.39,0,0.82,8.21,0.82,0,0,0,0,5.75,38.58,0,0.82,0
 36-46,0,0,5.64,3.22,0,0.81,0,0.81,0,0,8.06,0,0,0,4.03,0.81,0,1.61,2.42,2.42,2.42,0,0.81,0.81,4.83,20.14,0,0,0
 48-58,0,0,1.15,1.72,0,0.57,0,0,0.57,0,2.3,0,0,0,1.72,2.87,0,0.57,0,3.44,1.15,0,0,0,3.44,5.74,0,0.57,0
 60-70,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0,0.98,0,0,2.94,0
 72-82,0,0,0,3.93,0.98,0,4.91,0,0,0,0,0,0.98,0,0,4.91,0,2.94,1.96,3.93,2.94,0,0,0,3.93,1.96,0,1.96,0
 84-94,0,0,0,3.19,0,1.06,3.19,0,0,0,1.06,0,1.06,0,0,2.12,0,1.06,3.19,5.31,3.19,0,0,0,2.12,1.06,1.06,0,1.06
 96-106,0,0,0,21.86,3.28,0,5.46,0,0,1.09,1.09,0,0,1.09,0,5.46,0,1.09,2.19,3.28,2.19,0,0,0,2.19,4.37,0,1.09,1.09
108-118,0,0,0,25.28,0.77,2.3,6.13,0,0,0,2.3,0,0,4.6,0.77,3.83,0.77,1.53,1.53,0,3.83,0,0,0.77,5.36,0.77,0.77,0,1.53
120,0,0,0,21.56,0,0,1.96,0,0,0,1.96,0,1.96,0,0,1.96,0,0,7.84,0,3.92,0,0,0,0,1.96,0,1.96,0
