stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,4,13,0,0,0,0,3,5,0,0,0,0,0,0,6,0,0,0,6,11,1,0,14,0,1,37,0,0,59,62,0,0
 24-34,0,0,0,0,17.24,5.75,4.1,0,6.57,32.83,13.95,8.21,0,0.82,0,0,0,0,14.78,0,0,38.58,25.45,20.52,0.82,0,0,0,1.64,2.46,0.82,4.1,181.41,167.45,2.46,0
 36-46,0,0,0,0,0.81,0,1.61,0,13.7,76.54,8.86,9.67,1.61,0,0,0,0,0,25.78,0,0.81,49.15,19.34,5.64,0,0,0,0,0,0,0,9.67,0.81,110.38,3.22,0
 48-58,0,0,0,0,0,0,6.31,1.15,7.46,76.32,8.61,4.02,0,0,0,0,1.72,0,24.67,0,2.87,19.51,13.2,2.87,0,0,0,0,0,0,0,5.16,0,103.28,1.15,2.3
 60-70,0,0,0,0,0.98,0,1.96,0.98,4.91,72.63,5.89,10.8,0,0,0.98,0,0.98,0,21.59,0,1.96,12.76,8.83,0,0,0.98,0,0,0,0,0,2.94,0,58.89,0,4.91
 72-82,0,0,0.98,0,0,0,14.72,0,2.94,94.24,14.72,22.58,0,0,0,0,0,0.98,25.52,0,5.89,16.69,13.74,1.96,0,0,0,0.98,0,0,0,0,0,52.03,0,18.65
 84-94,1.06,0,0,0,3.19,0,14.87,0,7.43,78.59,10.62,41.42,0,0,0,1.06,0,1.06,25.49,0,9.56,9.56,6.37,0,0,0,0,0,0,0,1.06,1.06,0,46.73,1.06,20.18
 96-106,0,0,3.28,1.09,4.37,1.09,10.93,0,8.74,74.31,5.46,59.01,0,0,1.09,0,0,0,22.95,0,5.46,10.93,9.84,1.09,0,0,0,0,2.19,0,0,0,0,31.69,1.09,13.11
108-118,0,0,0.77,0,0.77,0,9.19,0.77,5.36,64.34,6.89,43.66,0.77,0,0,0,0,0,23.74,0.77,5.36,3.83,12.26,1.53,0.77,0,0,0,0,0,0.77,0.77,0,22.98,3.06,11.49
120,0,0,0,0,0,0,3.92,0,1.96,45.08,1.96,21.56,0,0,1.96,0,0,0,21.56,0,3.92,3.92,3.92,3.92,0,0,0,0,0,0,0,0,0,9.8,5.88,9.8
