stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,1.61,0,1.61,0.81,0,4.83,0,0,0,0
 48-58,0,0,0.57,0.57,0.57,0,0,0,0,0.57,0,1.72,0,0,5.74,0,0,0,0
 60-70,0,0.98,0.98,0,0,0,0,0,0,0,0,2.94,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0,2.94,0,0,12.76,0,0,0,0.98
 84-94,0,3.19,1.06,0,0,0,0,1.06,0,1.06,0,4.25,0,0,25.49,0,0,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,1.09,1.09,0,0,1.09,0,0,39.34,0,0,0,0
108-118,0,1.53,0,0,0,0,0,0.77,0,0.77,0.77,1.53,0,0,21.45,0,0,0,0
120,0,7.84,0,0,1.96,0,0,0,0,0,0,1.96,0,0,11.76,0,1.96,0,0
